Diện tích,Phòng ngủ,WC,Giá gốc,Loại,Ngày đăng
260 m²,,,115000000000,"Biệt thự, Villa",2025-06-27
"68,8 m²",7 PN,,31000000000,Nhà mặt tiền,2025-06-27
"154,8 m²",,,46000000000,Nhà mặt tiền,2025-06-27
400 m²,,,220000000000,Nhà mặt tiền,2025-06-27
400 m²,,,245000000000,Nhà mặt tiền,2025-06-27
"90,5 m²",,,95000000000,Nhà mặt tiền,2025-06-27
74 m²,7 PN,,85000000000,Nhà mặt tiền,2025-06-27
669 m²,,,780000000000,Nhà mặt tiền,2025-06-27
300 m²,15 PN,16 WC,28000000000,Nhà mặt tiền,2025-06-27
300 m²,,,5900000000,Nhà mặt tiền,2025-06-27
336 m²,,,350000000000,Nhà mặt tiền,2025-06-27
1.147 m²,,,1800000000000,Nhà mặt tiền,2025-06-27
200 m²,,,46000000000,"Đất dự án, Khu dân cư",2025-06-27
336 m²,,,350000000000,Nhà mặt tiền,2025-06-27
90 m²,6 PN,6 WC,42000000000,Nhà mặt tiền,2025-06-27
67 m²,,,2900000000,Chung cư,2025-06-27
49 m²,2 PN,2 WC,19500000000,Nhà mặt tiền,2025-06-27
150 m²,3 PN,2 WC,2500000000,Nhà mặt tiền,2025-06-27
"13,5 m²",1 PN,1 WC,780000000,"Nhà hẻm, ngõ",2025-06-27
40 m²,1 PN,1 WC,950000000,"Nhà hẻm, ngõ",2025-06-27
15 m²,1 PN,1 WC,690000000,"Nhà hẻm, ngõ",2025-06-27
27 m²,2 PN,2 WC,2550000000,"Nhà hẻm, ngõ",2025-06-27
"52,4 m²",2 PN,1 WC,3380000000,"Nhà hẻm, ngõ",2025-06-27
231 m²,6 PN,6 WC,20000000000,Nhà mặt tiền,2025-06-27
80 m²,6 PN,6 WC,42000000000,Nhà mặt tiền,2025-06-27
355 m²,,,125000000000,Nhà mặt tiền,2025-06-27
230 m²,,,11000000000,"Nhà hẻm, ngõ",2025-06-27
100 m²,,,23800000000,Nhà mặt tiền,2025-06-27
146 m²,,,61700000000,Nhà mặt tiền,2025-06-27
6.000 m²,,,30000000000,"Đất nông nghiệp, kho bãi",2025-06-27
126 m²,,,67500000000,Nhà mặt tiền,2025-06-27
150 m²,2 PN,2 WC,10800000000,Nhà mặt tiền,2025-06-27
1.622 m²,,,63000000000,Đất thổ cư,2025-06-27
90 m²,4 PN,3 WC,10000000000,Nhà mặt tiền,2025-06-27
60 m²,14 PN,14 WC,25000000000,Nhà mặt tiền,2025-06-27
37 m²,5 PN,3 WC,9200000000,Nhà mặt tiền,2025-06-27
28 m²,2 PN,2 WC,3480000000,"Nhà hẻm, ngõ",2025-06-27
100 m²,8 PN,3 WC,5299000000,"Nhà hẻm, ngõ",2025-06-27
200 m²,,,18500000000,Đất thổ cư,2025-06-27
50 m²,,,4800000000,"Nhà hẻm, ngõ",2025-06-27
"46,4 m²",2 PN,1 WC,2250000000,"Nhà hẻm, ngõ",2025-06-27
350 m²,,,14000000000,Nhà mặt tiền,2025-06-27
79 m²,2 PN,2 WC,8660000000,Chung cư,2025-06-27
256 m²,14 PN,,29500000000,"Nhà hẻm, ngõ",2025-06-27
111 m²,20 PN,20 WC,50000000000,Nhà mặt tiền,2025-06-27
38 m²,,,5000000000,Nhà mặt tiền,2025-06-27
22 m²,2 PN,3 WC,4500000000,"Nhà hẻm, ngõ",2025-06-27
70 m²,4 PN,5 WC,7900000000,"Nhà hẻm, ngõ",2025-06-27
72 m²,,,3350000000,Đất thổ cư,2025-06-27
"42,5 m²",3 PN,3 WC,2450000000,"Nhà hẻm, ngõ",2025-06-27
44 m²,2 PN,1 WC,2500000000,Nhà mặt tiền,2025-06-27
107 m²,11 PN,,38000000000,Nhà mặt tiền,2025-06-27
67 m²,,,30900000000,Nhà mặt tiền,2025-06-27
240 m²,5 PN,6 WC,46600000000,"Biệt thự, Villa",2025-06-27
1.500 m²,2 PN,1 WC,8000000000,Nhà mặt tiền,2025-06-27
190 m²,3 PN,2 WC,45000000000,Nhà mặt tiền,2025-06-27
"35,9 m²",6 PN,2 WC,10300000000,"Nhà hẻm, ngõ",2025-06-27
"64,5 m²",,,4500000000,Nhà mặt tiền,2025-06-27
150 m²,7 PN,,3200000000,"Nhà hẻm, ngõ",2025-06-27
8.961 m²,,,65000000000,Đất thổ cư,2025-06-27
"58,7 m²",,,15900000000,"Nhà hẻm, ngõ",2025-06-27
"137,5 m²",6 PN,,5450000000,"Nhà hẻm, ngõ",2025-06-27
100 m²,4 PN,5 WC,17500000000,Nhà mặt tiền,2025-06-27
116 m²,,,74888000000,Nhà mặt tiền,2025-06-27
53 m²,5 PN,6 WC,10500000000,"Nhà hẻm, ngõ",2025-06-27
20 m²,1 PN,2 WC,2600000000,"Nhà hẻm, ngõ",2025-06-27
55 m²,,,36000000000,Nhà mặt tiền,2025-06-27
93 m²,,,32000000000,"Nhà hẻm, ngõ",2025-06-27
72 m²,4 PN,3 WC,7300000000,"Nhà hẻm, ngõ",2025-06-27
51 m²,4 PN,4 WC,12700000000,"Nhà hẻm, ngõ",2025-06-27
87 m²,,,6300000000,Chung cư,2025-06-27
432 m²,,,13824000000,"Đất dự án, Khu dân cư",2025-06-27
194 m²,7 PN,12 WC,99000000000,Nhà mặt tiền,2025-06-27
79 m²,,,22500000000,"Nhà hẻm, ngõ",2025-06-27
"35,2 m²",3 PN,2 WC,5100000000,"Nhà hẻm, ngõ",2025-06-27
90 m²,,,120000000000,Nhà mặt tiền,2025-06-27
43 m²,3 PN,4 WC,6200000000,"Nhà hẻm, ngõ",2025-06-27
62 m²,4 PN,3 WC,2310000000,Nhà mặt tiền,2025-06-27
100 m²,,,5550000000,"Nhà hẻm, ngõ",2025-06-27
150 m²,,,8000000000,Nhà mặt tiền,2025-06-27
235 m²,,,10800000000,"Đất dự án, Khu dân cư",2025-06-27
2.100 m²,,,12000000000,Đất thổ cư,2025-06-27
118 m²,3 PN,2 WC,5500000000,Nhà mặt tiền,2025-06-27
78 m²,,,16000000000,Nhà mặt tiền,2025-06-27
3.005 m²,,,1590000000,Đất thổ cư,2025-06-27
150 m²,3 PN,3 WC,8500000000,Nhà mặt tiền,2025-06-27
100 m²,,,1690000000,Đất thổ cư,2025-06-27
840 m²,38 PN,,24000000000,"Nhà hẻm, ngõ",2025-06-27
148 m²,2 PN,2 WC,6600000000,Nhà mặt tiền,2025-06-27
120 m²,,,555000000,Đất thổ cư,2025-06-27
86 m²,4 PN,4 WC,8000000000,"Nhà hẻm, ngõ",2025-06-27
135 m²,,,7500000000,Đất thổ cư,2025-06-27
70 m²,3 PN,3 WC,5400000000,"Nhà hẻm, ngõ",2025-06-27
492 m²,4 PN,2 WC,20000000000,Nhà mặt tiền,2025-06-27
"111,6 m²",7 PN,7 WC,18500000000,Nhà mặt tiền,2025-06-27
60 m²,,,13000000000,"Nhà hẻm, ngõ",2025-06-27
120 m²,,,18000000000,"Nhà hẻm, ngõ",2025-06-27
40 m²,3 PN,2 WC,5800000000,"Nhà hẻm, ngõ",2025-06-27
20 m²,,,123456789,Nhà mặt tiền,2025-06-27
101 m²,3 PN,4 WC,11001000000,"Nhà hẻm, ngõ",2025-06-27
"110,8 m²",,,10400000000,Nhà mặt tiền,2025-06-27
"76,5 m²",,,4400000000,"Đất dự án, Khu dân cư",2025-06-27
80 m²,,,5200000000,Nhà mặt tiền,2025-06-27
100 m²,,,17000000000,Nhà mặt tiền,2025-06-27
560 m²,,,9000000000,Đất thổ cư,2025-06-27
30 m²,,,2400000000,"Nhà hẻm, ngõ",2025-06-27
150 m²,,,20500000000,Nhà mặt tiền,2025-06-27
850 m²,,,4500000000,Đất thổ cư,2025-06-27
1.056 m²,,,1550000000,"Đất nông nghiệp, kho bãi",2025-06-27
270 m²,,,18500000000,Chung cư,2025-06-27
63 m²,2 PN,2 WC,2650000000,Chung cư,2025-06-27
60 m²,2 PN,1 WC,3580000000,"Nhà hẻm, ngõ",2025-06-27
101 m²,,,12500000000,"Nhà hẻm, ngõ",2025-06-27
42 m²,3 PN,3 WC,2190000000,"Nhà hẻm, ngõ",2025-06-27
"72,5 m²",2 PN,1 WC,6000000000,"Nhà hẻm, ngõ",2025-06-27
54 m²,4 PN,3 WC,7750000000,"Nhà hẻm, ngõ",2025-06-27
"27,9 m²",4 PN,5 WC,9600000000,Nhà mặt tiền,2025-06-27
"290,3 m²",,,200000000000,Nhà mặt tiền,2025-06-27
28 m²,2 PN,2 WC,1750000000,"Nhà hẻm, ngõ",2025-06-27
98 m²,,,16000000000,"Nhà hẻm, ngõ",2025-06-27
40 m²,,,5500000000,Nhà mặt tiền,2025-06-27
1.000 m²,,,6800000000,Đất thổ cư,2025-06-27
"208,9 m²",,,16503000000,Đất thổ cư,2025-06-27
1.232 m²,,,105900000000,Đất thổ cư,2025-06-27
