Product_Name,Product_Link,New_Price,Old_Price,screen_size,cpu,os,internal_storage,ram,battery_capacity,color,product_condition,brand,main_camera,selfie_camera,resolution,fast_charging
iPhone 16 Plus 512GB Chính Hãng VN/A,https://clickbuy.com.vn/iphone-16-plus-512gb.html,32.490.000 ₫,Liên hệ,6.7 inch,A18 Bionic,iOS,512GB,,,"Black, White, Pink, Blue, Green",New,Apple,48MP - 12MP,,,
iPhone 16 Pro 128GB Chính Hãng VN/A,https://clickbuy.com.vn/iphone-16-pro.html,24.590.000 ₫,Liên hệ,"6,3 inch",Apple A18 Pro,iOS,128GB,,,"Black Titanium, White Titanium, Natural Titanium, Desert Titanium",New,Apple,48MP - 12MP - 12MP,,,
iPhone 16 Pro 256GB Chính Hãng VN/A,https://clickbuy.com.vn/iphone-16-pro-256gb.html,27.490.000 ₫,31.990.000 ₫,"6,3 inch",Apple A18 Pro,iOS,256GB,,,"Black Titanium, White Titanium, Natural Titanium, Desert Titanium",New,Apple,48MP - 12MP - 12MP,,,
iPhone 16 Pro 512GB Chính Hãng VN/A,https://clickbuy.com.vn/iphone-16-pro-512gb.html,34.490.000 ₫,Liên hệ,"6,3 inch",Apple A18 Pro,iOS,512GB,,,"Black Titanium, White Titanium, Natural Titanium, Desert Titanium",New,Apple,48MP - 12MP - 12MP,,,
iPhone 16 Pro 1TB Chính Hãng VN/A,https://clickbuy.com.vn/iphone-16-pro-1tb.html,38.990.000 ₫,43.990.000 ₫,"6,3 inch",Apple A18 Pro,iOS,1TB,,,"Black Titanium, White Titanium, Natural Titanium, Desert Titanium",New,Apple,48MP - 12MP - 12MP,,,
Xiaomi 14T 12GB 512GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/xiaomi-14t-chinh-hang.html,12.390.000 ₫,13.990.000 ₫,"AMOLED 6.67 inches, 144Hz",Mediatek Dimensity 8300 Ultra (4 nm),"Android 14, HyperOS",512GB,12GB,Li-Po 5000 mAh,"Titan Gray, Titan Blue, Titan Black, Lemon Green",New,Xiaomi,50 MP - 50 MP - 12 MP,32 MP,1220 x 2712 pixels,67W
Xiaomi 14T Pro - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/xiaomi-14t-pro-chinh-hang.html,14.290.000 ₫,17.990.000 ₫,"AMOLED, 6.67 inches",Mediatek Dimensity 9300+ (4 nm),"Android 14, HyperOS",512GB,12GB,Li-Po 5000 mAh,"Titan Gray, Titan Blue, Titan Black",New,Xiaomi,50 MP - 50 MP - 12 MP,32 MP,1220 x 2712 pixels,"120W có dây, 50W không dây"
Samsung Galaxy A56 (5G) 8GB 128GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/samsung-galaxy-a56-5g-chinh-hang.html,8.790.000 ₫,9.990.000 ₫,"Super AMOLED, 6.7 inches, 120Hz",Exynos 1580 (4 nm),"Android 15, One UI 7",128GB/ 256GB,8GB,5000 mAh,"Pink, Olive, Graphite, Lightgray",New,samsung,50 MP - 12 MP - 5 MP,12 MP,1080 x 2340 pixels,45W
Samsung Galaxy A36 (5G) 8GB 128GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/samsung-galaxy-a36-chinh-hang.html,7.190.000 ₫,8.290.000 ₫,"Super AMOLED, 6.7 inches, 120Hz",Snapdragon 6 Gen 3,"Android 15, One UI 7",128GB,8GB,5000 mAh,"Lavender, Black, White, Lime",New,samsung,50 MP - 8 MP - 5 MP,12 MP,1080 x 2340 pixels,45W
Samsung Galaxy A16 (4G) 4GB 128GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/samsung-galaxy-a16-4g.html,4.090.000 ₫,5.890.000 ₫,"AMOLED, 6.7 inches, 90 Hz",MediaTek Helio G99,Android 14,128GB,4GB,Li-Ion 5000 mAh,"Blaxk, Gray, Light Green",New,samsung,50 MP - 5 MP - 2 MP,13 MP,1080 x 2340 (FHD+),25W
Samsung Galaxy A16 (5G) 8GB 128GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/samsung-galaxy-a16-5g.html,5.190.000 ₫,6.090.000 ₫,"Super AMOLED, 6.7 inches, 90Hz",MediaTek Dimensity 6300 5G,,128GB,8GB,Li-Ion 5000 mAh,"Blue Black, Light Gray, Gold, Light Green",New,samsung,50 MP - 5 MP - 2 MP,13 MP,1080 x 2340 (FHD+),25W
iPhone 16 128GB Chính Hãng VN/A,https://clickbuy.com.vn/iphone-16.html,18.890.000 ₫,22.990.000 ₫,6.1 inch,Apple A18 Bionic,iOS,128GB,,,"Black, White, Pink, Blue, Green",New,Apple,48MP - 12MP,,2556x1179 pixel,
iPhone 16 256GB Chính Hãng VN/A,https://clickbuy.com.vn/iphone-16-256gb.html,22.190.000 ₫,25.990.000 ₫,6.1 inch,Apple A18 Bionic,iOS,256GB,,,"Black, White, Pink, Blue, Green",New,Apple,48MP - 12MP,,2556x1179 pixel,
iPhone 16 512GB Chính Hãng VN/A,https://clickbuy.com.vn/iphone-16-512gb.html,28.490.000 ₫,Liên hệ,6.1 inch,Apple A18 Bionic,iOS,512GB,,,"Black, White, Pink, Blue, Green",New,Apple,48MP - 12MP,,2556x1179 pixel,
Samsung Galaxy S25 (5G) 12GB 256GB - 1 đổi 1 12 tháng,https://clickbuy.com.vn/samsung-galaxy-s25.html,18.290.000 ₫,22.990.000 ₫,6.2 inches,Snapdragon 8 Elite For Galaxy (3nm),Android,256GB,12GB,4000 mAh,"Ice Blue, Navy, Silver Shadow, Mint",New,Samsung,50MP - 10MP - 12MP,12MP,2340 x 1080-pixel,25W
Samsung Galaxy S25 (5G) 12GB 512GB - 1 đổi 1 12 tháng,https://clickbuy.com.vn/samsung-galaxy-s25-512gb.html,21.290.000 ₫,26.490.000 ₫,6.2 inches,Snapdragon 8 Elite For Galaxy (3nm),Android,512GB,12GB,4000 mAh,"Ice Blue, Navy, Silver Shadow, Mint",New,Samsung,50MP - 10MP - 12MP,12MP,2340 x 1080-pixel,25W
Xiaomi 15 Ultra (5G) 16GB 512GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/xiaomi-15-ultra-chinh-hang.html,27.490.000 ₫,31.990.000 ₫,"LTPO AMOLED, 6.73 inches, 120Hz",Snapdragon 8 Elite (3 nm),"Android 15, HyperOS 2",512GB,16GB,5410mAh,"Black, White, Silver Chrome, Green",New,Xiaomi,50 MP - 50 MP - 200 MP - 50 MP,32,3200 x 1440 pixels,90W
Xiaomi 15 (5G)  - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/xiaomi-15-5g-chinh-hang.html,18.890.000 ₫,21.990.000 ₫,"CrystalRes AMOLED, 6.36 inches, 120Hz",Snapdragon 8 Elite (3 nm),"Android 15, HyperOS 2",256GB,12GB,Si/C Li-Ion 5240mAh,"Black, White, Green",New,Xiaomi,50 MP - 50 MP - 50 MP,32 MP,1200 x 2670 pixels,90W
Xiaomi Redmi Note 13 6GB 128GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/xiaomi-redmi-note13-chinh-hang.html,3.690.000 ₫,4.890.000 ₫,"6,67 inches",Qualcomm Snapdragon 685,Android,128GB,6GB,5000 mAh,33W,New,Xiaomi,108MP - 8MP - 2MP,16MP,1080 x 2400 pixels,
Xiaomi Redmi Note 13 8GB 128GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/xiaomi-redmi-note13-8gb-128gb-chinh-hang.html,4.090.000 ₫,5.290.000 ₫,"6,67 inches",Qualcomm Snapdragon 685,Android,128GB,8GB,5000 mAh,33W,New,Xiaomi,108MP - 8MP - 2MP,16MP,1080 x 2400 pixels,
Samsung Galaxy Z Fold6 (5G) 12GB 256GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/galaxy-z-fold-6.html,33.490.000 ₫,43.990.000 ₫,"Màn ngoài: 6,3 inch - Màn trong: 7,6 inch",Snapdragon 8 Gen 3 (4 nm),"Android 14, One UI 6.1",256GB,12GB,4400 mAh,"Navy, Silver Shadow, Pink",New,Samsung,50MP - 10MP - 12MP,10MP,1856 x 2160 pixels,45W
Samsung Galaxy Z Fold6 (5G) 12GB 512GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/galaxy-z-fold-6-512gb.html,38.090.000 ₫,47.990.000 ₫,"Màn ngoài: 6,3 inch - Màn trong: 7,6 inch",Snapdragon 8 Gen 3 (4 nm),"Android 14, One UI 6.1",512GB,12GB,4400 mAh,"Navy, Silver Shadow, Pink",New,Samsung,50MP - 10MP - 12MP,10MP,1856 x 2160 pixels,45W
Samsung Galaxy Z Fold6 (5G) 12GB 1TB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/galaxy-z-fold-6-1tb.html,43.990.000 ₫,54.990.000 ₫,"Màn ngoài: 6,3 inch - Màn trong: 7,6 inch",Snapdragon 8 Gen 3 (4 nm),"Android 14, One UI 6.1",1TB,12GB,4400 mAh,"Navy, Silver Shadow, Pink",New,Samsung,50MP - 10MP - 12MP,10MP,1856 x 2160 pixels,45W
Samsung Galaxy S25 Plus (5G) 12GB 256GB - 1 đổi 1 12 tháng,https://clickbuy.com.vn/samsung-galaxy-s25-plus.html,20.990.000 ₫,26.990.000 ₫,6.7 inches,Snapdragon 8 Elite For Galaxy (3nm),Android,256GB,12GB,4900 mAh,"Ice Blue, Navy, Silver Shadow, Mint",New,Samsung,50MP - 10MP - 12MP,12MP,3120 x 1440 pixels (Quad HD+),45W
Samsung Galaxy S25 Plus (5G) 12GB 512GB - 1 đổi 1 12 tháng,https://clickbuy.com.vn/samsung-galaxy-s25-plus-512gb.html,25.390.000 ₫,30.490.000 ₫,6.7 inches,Snapdragon 8 Elite For Galaxy (3nm),Android,512GB,12,4900 mAh,"Ice Blue, Navy, Silver Shadow, Mint",New,Samsung,50MP - 10MP - 12MP,12MP,3120 x 1440 pixels (Quad HD+),45W
iPhone 16e 128GB Chính Hãng VN/A,https://clickbuy.com.vn/iphone-16e.html,15.990.000 ₫,16.990.000 ₫,6.1 inches,Apple A18,iOS,128GB,,Thời gian xem video Lên đến 26 giờ - thời gian xem video (trực tuyến) Lên đến 21 giờ,"Black, White",New,A,48MP,12MP,2532 x 1170 pixels,
