Product_Name,Product_Link,New_Price,Old_Price,screen_size,cpu,os,internal_storage,ram,battery_capacity,color,product_condition,brand,main_camera,selfie_camera,resolution,fast_charging
Samsung Galaxy A06 (5G) 4GB 128GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/samsung-galaxy-a06-5g-chinh-hang.html,2.990.000 ₫,3.990.000 ₫,"PLS LCD, 6.7 inches, 90Hz",Mediatek Dimensity 6300 (6 nm),"Android 15, One UI 7",128GB,4GB,Li-Po 5000 mAh,"Gray, Light Green, Black",New,Samsung,50 MP - 2 MP,8 MP,"720 x 1600 pixels,",25W
Samsung Galaxy A06 4GB 128GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/samsung-galaxy-a06.html,2.590.000 ₫,3.890.000 ₫,"PLS LCD, 6.7 inches",Mediatek Helio G85 (12 nm),Android 14,128GB,4GB,Li-Po 5000 mAh,"Blue, Green, Black",New,Samsung,50 MP - 2 MP,8 MP,720 x 1600 pixels,25W
Samsung Galaxy S23 Ultra (5G) 8GB 256GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/samsung-galaxy-s23-ultra-5g-8gb-256gb-chinh-hang.html,18.490.000 ₫,31.990.000 ₫,6.8 inches,Qualcomm SM8550 Snapdragon 8 Gen 2 (4 nm),,256 GB,8Gb,5000 mAh,"Green,Lavender,Cream,Aura Black,Sky Blue,Red",new,,200MP - 10MP - 10MP,12MP,1440 x 3088 pixels (QHD+),Sạc nhanh 25W
Samsung Galaxy S23 Ultra (5G) 12GB 512GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/samsung-galaxy-s23-ultra-5g-12gb-512gb-chinh-hang.html,20.990.000 ₫,36.990.000 ₫,6.8 inches,Qualcomm SM8550 Snapdragon 8 Gen 2 (4 nm),,512GB,12 GB,5000 mAh,"Green,Lavender,Cream,Aura Black",new,,200MP - 10MP - 10MP,12MP,1440 x 3088 pixels (QHD+),Sạc nhanh 25W
INOI A75 6GB 256GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/inoi-a75.html,3.590.000 ₫,3.790.000 ₫,6.8 inches,MediaTek Helio G99,,256GB,6GB,5000 mAh,"Pearl White, Titanium Black",New,INOI,50 MP - 2 MP,24 MP,FHD+,33W
INOI A75 8GB 512GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/inoi-a75-8gb-512gb.html,4.590.000 ₫,4.990.000 ₫,6.8 inches,MediaTek Helio G99,,512GB,8GB,5000 mAh,"Pearl White, Titanium Black",New,INOI,50 MP - 2 MP,24 MP,FHD+,33W
Samsung Galaxy A35 (5G) 8GB 128GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/samsung-galaxy-a35.html,6.490.000 ₫,8.290.000 ₫,6.6 inches,Exynos 1380 (5 nm),"Android 14, One UI 6.1",128GB,8GB,5000 mAh,"Black, Blue, Gold",New,Samsung,50MP - 8MP - 5MP,13MP,1080 x 2340 pixels,25W
Samsung Galaxy A55 (5G) 8GB 128GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/samsung-galaxy-a55.html,7.990.000 ₫,9.990.000 ₫,6.6 inches,Exynos 1480,"Android 14, One UI 6.1",128GB,8GB,5000 mAh,"Black, Blue, Purple",New,Samsung,50MP - 12MP - 5MP,32MP,1080 x 2340 pixels,25W
TECNO Pova 5 (8+8GB/256GB) - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/tecno-pova-5-8gb-256gb-chinh-hang.html,3.790.000 ₫,5.990.000 ₫,6.78 inchs,MediaTek Helio G99 (6nm),"Android 13, HIOS 13",256 GB,8Gb,6000 mAh,"Gold,Blue,Black",new,Tecno,50MP,8MP,1080 x 2460 pixels,Sạc nhanh 45W
TECNO Pova 5 (8+8GB/128GB) - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/tecno-pova-5-8gb-128gb-chinh-hang.html,3.590.000 ₫,4.990.000 ₫,6.78 inchs,MediaTek Helio G99 (6nm),"Android 13, HIOS 13",128GB,8Gb,6000 mAh,"Gold,Blue,Black",new,Tecno,50MP,8MP,1080 x 2460 pixels,Sạc nhanh 45W
Xiaomi Redmi Note 14 Pro (5G) 8GB 256GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/xiaomi-redmi-note-14-pro-5g-chinh-hang.html,7.990.000 ₫,9.490.000 ₫,"AMOLED, 6.67 inches , 120Hz",MediaTek Dimensity 7300-Ultra (4 nm),Android 14,256GB,8GB,Li-Po 5110 mAh,"Lavender Purple, Coral Green, Midnight Black",New,Xiaomi,200 MP - 8 MP - 2 MP,20 MP,1.5K (1220 x 2712 Pixels),45W
Xiaomi Redmi Note 14 Pro (4G) 8GB 256GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/xiaomi-redmi-note-14-pro-4g-chinh-hang.html,6.690.000 ₫,7.990.000 ₫,"POLED, 6.67 inches, 120Hz",Mediatek Helio G100 Ultra (6 nm),"Android 14, HyperOS 1.0",128GB/ 256GB,6GB/ 8GB,5500 mAh,"Black, Purple, Green",New,Xiaomi,200 MP - 8 MP - 2 MP,16 MP,Full HD+ (1080 x 2400 pixels),45W
TECNO Camon 30 (8+8GB/256GB) - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/tecno-camon-30.html,5.090.000 ₫,6.490.000 ₫,"AMOLED 6,78 inch",Mediatek Helio G99 Ultimate,"Android 14, HIOS 14",256GB,8GB,5000 mAh,"Black, White, Brown",New,Tecno,50 MP - 2 MP,50 MP,1080 x 2436 pixels,70W
TECNO Camon 30S (8+8GB/256GB) - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/tecno-camon-30s.html,4.690.000 ₫,5.490.000 ₫,"AMOLED FHD+, 6.78inches, 120 Hz",Helio G100,Android 14,256GB,8GB,5000 mAh,"Celestial Black, Dawn Gold, Nebula Violet",New,TECNO,50 MP - 2 MP,13 MP,1080*2436 pixel,33W
TECNO Camon 30 (12+12GB/256GB) - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/tecno-camon-30-12gb.html,5.490.000 ₫,6.990.000 ₫,"AMOLED 6,78 inch",Mediatek Helio G99 Ultimate,"Android 14, HIOS 14",256GB,8GB,5000 mAh,"Black, White, Brown",New,Tecno,50 MP - 2 MP,50 MP,1080 x 2436 pixels,70W
TECNO Spark 20 Pro+ (8+8GB/256GB) - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/tecno-spark-20-pro-plus.html,4.490.000 ₫,5.490.000 ₫,"6,78 inches",Mediatek Helio G99 Ultimate,Android 14,256GB,8GB có thể mở rộng lên 16GB,5000mAh,"Black, White, Gold, Green",New,Tecno,108MP - 2MP - 32MP,32MP,,33W
Xiaomi Redmi Note 14 Pro Plus (5G) 8GB 256GB- 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/xiaomi-redmi-note-14-pro-plus-5g-chinh-hang.html,9.290.000 ₫,10.990.000 ₫,"AMOLED, 6.67 inches, 120 Hz",Snapdragon 7s Gen 3 5G 8 nhân,,256GB,8GB,Li-Po 5110 mAh,"Black, Blue, Purple",New,Xiaomi,200 MP - 8 MP - 2 MP,20 MP,1.5K (1220 x 2712 Pixels),120W
iPhone 14 Plus 128GB VNA - Tặng BH rơi vỡ vào nước,https://clickbuy.com.vn/iphone-14-plus-128gb-chinh-hang-vna.html,17.490.000 ₫,28.990.000 ₫,6.7 inches,Apple A15 Bionic,iOS 16,128GB,6 GB,,"Purple,Starlight,Aura Red,Aura Blue,Black,Yellow",new,Apple,Camera chính 12MP Camera góc siêu rộng 12MP,12MP khẩu độ f/1.9,,
iPhone 14 Plus 256GB VNA - Tặng BH rơi vỡ vào nước,https://clickbuy.com.vn/iphone-14-plus-256gb-chinh-hang-vna.html,21.990.000 ₫,31.990.000 ₫,6.7 inches,Apple A15 Bionic,iOS 16,256 GB,6 GB,,"Purple,Starlight,Aura Red,Aura Blue,Black,Yellow",new,Apple,Camera chính 12MP Camera góc siêu rộng 12MP,12MP khẩu độ f/1.9,,
iPhone 14 128GB VNA - Tặng BH rơi vỡ vào nước,https://clickbuy.com.vn/iphone-14-128gb-chinh-hang-vna.html,12.650.000 ₫,25.990.000 ₫,"6,1 inches",Apple A15 Bionic,iOS 16,128GB,6 GB,"3,279mAh","Black,Starlight,Red,Blue,Purple,Yellow",new,Apple,Camera góc rộng: 12MP Camera góc siêu rộng: 12MP,,,
iPhone 14 256GB chính hãng VNA - Tặng BH rơi vỡ vào nước,https://clickbuy.com.vn/iphone-14-256gb-chinh-hang-vna.html,16.490.000 ₫,28.990.000 ₫,6.1 inch,Apple A15 Bionic,iOS 16,256 GB,6 GB,"3,279mAh","Black,Purple,Starlight,Red,Blue,Yellow",new,Apple,Camera góc rộng: 12MP Camera góc siêu rộng: 12MP,,,
TECNO Camon 20 Pro (8+8GB/256GB) - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/tecno-camon-20-pro-8gb-256gb-chinh-hang.html,4.190.000 ₫,5.490.000 ₫,6.67 inches,Mediatek MT8781 Helio G99 (6nm),"Android 13, HIOS 13",256GB,8GB,Li-Po 5000 mAh,"Black, Blue",New,Tecno,64MP - 2MP,32MP,1080 x 2400 pixels,33W
TECNO Camon 20 (8+8GB/256GB) - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/tecno-camon-20-8gb-256ggb-chinh-hang.html,3.690.000 ₫,4.990.000 ₫,6.67 inches,MediaTek MT6769Z Helio G85 (12nm),"Android 13, HIOS 13",256 GB,8Gb,5000 mAh,"White,Blue,Black",new,Tecno,64MP - 2MP,32 MP,1080 x 2400 pixels,33w
TECNO Spark 30 (5G) (6+6GB/128GB) - 1 Đổi 1 12 tháng,https://clickbuy.com.vn/tecno-spark-30-chinh-hang.html,3.690.000 ₫,4.490.000 ₫,"HD+, 6.67inches, 120Hz",MediaTek Dimensity 6300 5G,Android 14,128GB,6GB,5000mAh,"Midnight Shadow, Aurora Cloud, Azure Sky",New,TECNO,108 MP,8 MP,720*1600 pixel,18W
TECNO Spark 30C (4+4GB/128GB) - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/tecno-spark-30c.html,2.390.000 ₫,2.890.000 ₫,6.67 inches,Helio G81,Android 14,128GB/ 256GB,8GB/12GB,5000mAh,"Orbit Black, Orbit White, Magic Skin 3.0",New,TECNO,48 MP,8 MP,720 x 1600 pixels,18W
iPhone 15 512GB Chính Hãng VN/A - Tặng BH rơi vỡ vào nước,https://clickbuy.com.vn/iphone-15-512gb.html,26.090.000 ₫,Liên hệ,,,,,,,,,,,,,
Samsung Galaxy Z Flip5 8GB 256GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/samsung-galaxy-z-flip5-8gb-256gb-chinh-hang.html,14.990.000 ₫,25.990.000 ₫,6.7 inches,Snapdragon 8 Gen 2 for Galaxy,"Android 13, One UI 5.1",256 GB,8Gb,3700 mAh,"Ocean Green,Lavender,Graphite Black,Cream",new,Samsung,12MP - 12MP,10 MP,1080 x 2640 pixels,Sạc nhanh 25W
Samsung Galaxy Z Flip5 8GB 512GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/samsung-galaxy-z-flip5-8gb-512gb-chinh-hang.html,14.990.000 ₫,29.990.000 ₫,6.7 inches,Snapdragon 8 Gen 2 for Galaxy,"Android 13, One UI 5.1",512 GB,8Gb,3700 mAh,"Cream,Ocean Green,Lavender,Graphite Black",new,Samsung,12MP - 12MP,10 MP,1080 x 2640 pixels,Sạc nhanh 25W
Vivo iQOO Z9 Turbo (5G) 12GB 256GB Box  - Bảo hành 15 Tháng,https://clickbuy.com.vn/vivo-iqoo-z9-turbo.html,6.490.000 ₫,8.990.000 ₫,"AMOLED HDR, 6.78 inches",Snapdragon 8s Gen 3 (4 nm),"Android 14, OriginOS 4",256GB,12GB/16GB,6000 mAh,"White, Mint, Black",New,Vivo,50 MP - 8 MP,16 MP,1.5K (1260 x 2800 pixels),80W
Vivo IQOO Z9 Turbo 2025 (5G) Box - Bảo hành 15 Tháng,https://clickbuy.com.vn/vivo-iqoo-z9-turbo-endurance-edition-2025-5g-box.html,6.690.000 ₫,9.290.000 ₫,"AMOLED, 6.78 inches, 144Hz",Snapdragon 8s Gen 3 (4 nm),"Android 15, OriginOS 5",256GB,12GB,Si/C Li-Ion 6400 mAh,"Black, White, Blue",New,Vivo,50 MP - 8 MP,16 MP,1260 x 2800 pixels,80W
Vivo IQOO Z9 Turbo Plus 12GB 256GB Box - Bảo hành 15 Tháng,https://clickbuy.com.vn/vivo-iqoo-z9-turbo-plus.html,7.790.000 ₫,10.990.000 ₫,"AMOLED 6.78 inches, 144Hz",Mediatek Dimensity 9300+ (4 nm),"Android 14, OriginOS 4",256GB/ 512GB,12GB/ 16GB,6400 mAh,"Black, White, Titanium",New,Vivo,50 MP - 8 MP,16 MP,1260 x 2800 pixels,"80W có dây, 7.5W không dây"
Samsung Galaxy A34 (5G) 8GB 256GB -1 Đổi 1 12 Tháng,https://clickbuy.com.vn/samsung-galaxy-a34-5g-8gb-256gb-chinh-hang.html,5.490.000 ₫,9.990.000 ₫,6.6 inch,Dimensity 1080,"Android 13, One UI 5",256GB,8Gb,5000 mAh,"Silver,Black,Green",new,Samsung,48MP - 8MP - 5MP,13 MP,1080 x 2400 pixels,Sạc nhanh 25W
Samsung Galaxy S24 Plus (5G) 12GB 256GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/samsung-galaxy-s24-plus.html,17.990.000 ₫,26.990.000 ₫,6.7 inches,Exynos 2400,"Android 14, One UI 6.1",256GB,12GB,4900 mAh,"Black, Purple, Gray, Yellow",New,Samsung,50MP - 10MP - 12MP,12MP,1440 x 3088 pixels,45W
Samsung Galaxy S24 Plus (5G) 12GB 512GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/samsung-galaxy-s24-plus-512gb.html,19.990.000 ₫,30.490.000 ₫,6.7 inches,Exynos 2400,"Android 14, One UI 6.1",512GB,12GB,4900 mAh,"Black, Purple, Gray, Yellow",New,Samsung,50MP - 10MP - 12MP,12MP,1440 x 3088 pixels,45W
Xiaomi Redmi Pad SE 8.7 (Wifi) 4GB 128GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/xiaomi-redmi-pad-se-8.7-wifi.html,2.990.000 ₫,3.990.000 ₫,"LCD 8.7 inches, 90Hz",MediaTek Helio G85,Android 14,128GB,4GB,6650mAh,"Black, Blue, Green",New,Xiaomi,8 MP,5 MP,1340 x 800 pixel,18W
Xiaomi Redmi Pad SE 8.7 (4G) 6GB 128GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/xiaomi-redmi-pad-se-8-7-4g.html,4.390.000 ₫,5.490.000 ₫,"LCD 8.7 inches, 90Hz",MediaTek Helio G85,Android 14,128GB,6GB,6650mAh,"Black, Blue, Green",New,Xiaomi,8 MP,5 MP,1340 x 800 pixel,18W
Xiaomi Redmi Pad SE (Wifi) 6GB 128GB - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/xiaomi-redmi-pad-se-wifi-chinh-hang.html,4.390.000 ₫,5.990.000 ₫,11.0 inches,Snapdragon 680 4G (6 nm),"Android 13, MIUI Pad 14",128GB,6GB,Li-Po 8000 mAh,"Purple, Gray, Mint",New,Xiaomi,8MP,5MP,1200 x 1920 pixels,18W
Nokia 105 4G Pro (2023) Chính Hãng,https://clickbuy.com.vn/nokia-105-4g-pro-2023-chinh-hang.html,899.000 ₫,780.000 ₫,1.8 inchs,Unisoc T107,,,,1450mAh,"Blue,Black",new,Nokia,,,,
Nokia 105 DS 4G – Sản phẩm chính hãng,https://clickbuy.com.vn/nokia-105-ds-4g.html,649.000 ₫,710.000 ₫,,Unisoc T107,Nokia S30+,128 MB,48 MB,1020 mAh,"Black,Blue,Red",,,,,,
Nokia 105 DS (2019) – Sản phẩm chính hãng,https://clickbuy.com.vn/nokia-105-ds-2019.html,399.000 ₫,420.000 ₫,,,Nokia S30+,4GB,4GB,800 mAh,"Black,Blue",,,,,,
Nokia 110 4G Pro (2023) Chính Hãng,https://clickbuy.com.vn/nokia-110-4g-pro-2023-chinh-hang.html,739.000 ₫,810.000 ₫,1.77 inchs,Unisoc T107,,,,,"Purple,Blue",new,Nokia,QVGA,,IPS LCD,
Nokia 110 DS 4G – Sản phẩm chính hãng,https://clickbuy.com.vn/nokia-110-ds-4g.html,639.000 ₫,810.000 ₫,,Unisoc T107,Nokia S30+,128 MB,48 MB,1020 mAh,"Gold,Black,Blue",,,0.08 MP,,,
INOI 240 (4G) - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/inoi-240-4g.html,590.000 ₫,Liên hệ,"1,8 inch",Unisoc T107,,128MB,48MB,1000 mAh,Black,New,INOI,0.08MP,,128 X 160,
INOI 244 (4G) - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/inoi-244-4g.html,690.000 ₫,Liên hệ,"2,4 inch",Unisoc T107,,128MP,48MP,1200mAh,Black,New,iNoi,0.08MP,,240X320,
Vivo X200s (5G) 12GB 256GB Box - Bảo hành 15 Tháng,https://clickbuy.com.vn/vivo-x200s-box.html,15.490.000 ₫,15.890.000 ₫,"AMOLED, 6.67 inches, 120Hz",Mediatek Dimensity 9400+ (3 nm),"Android 15, OriginOS 5",256GB,12GB,Si/C Li-Ion 6200 mAh,"Black, Silver, Mint, Purple",New,Vivo,50 MP - 50 MP - 50 MP,32 MP,1260 x 2800 pixels,90W
Vivo X200 Ultra (5G) 12GB 256GB Box - Bảo hành 15 tháng,https://clickbuy.com.vn/vivo-x200-ultra-5g-box.html,25.090.000 ₫,Liên hệ,"LTPO AMOLED, 6.82 inches, 120Hz",Snapdragon 8 Elite (3 nm),"Android 15, OriginOS 5",256GB/ 512GB/ 1TB,12GB/ 16GB,Si/C Li-Ion 6000 mAh,"Black, Silver, Red",New,Vivo,50 MP - 200 MP - 50 MP,50 MP,1440 x 3168 pixels,90W
Vivo X200 Pro Mini (5G) Box - Bảo hành 15 tháng,https://clickbuy.com.vn/vivo-x200-pro-mini-box .html,16.690.000 ₫,17.990.000 ₫,"LTPO AMOLED, 6.31 inches, 120Hz",Mediatek Dimensity 9400 (3 nm),"Android 15, OriginOS 5",256GB,12GB,Si/C 5700 mAh,"Black, White, Green, Pink",New,Vivo,50 MP - 50 MP - 50 MP,32 MP,1216 x 2640 pixels,90W
Vivo X200 (5G) 12GB 256GB Box - Bảo hành 15 tháng,https://clickbuy.com.vn/vivo-x200-5g-box.html,13.990.000 ₫,16.990.000 ₫,"AMOLED, 6.67 inches , 120Hz",Mediatek Dimensity 9400 (3 nm),"Android 15, Funtouch 15, OriginOS 5",256GB,12GB,Si/C 5800 mAh,"Natural Green, Cosmos Black, Blue, White, Titanium",New,Vivo,50 MP - 50 MP - 50 MP,32 MP,1260 x 2800 pixels,90W
Vivo X200 Pro (5G) Box - Bảo hành 15 tháng,https://clickbuy.com.vn/vivo-x200-pro-box.html,18.090.000 ₫,22.690.000 ₫,"LTPO AMOLED, 6.78 inches, 120Hz",MediaTek Dimensity 9400 (3 nm),"Android 15, OriginOS 5",256GB/ 512GB,12GB/ 16GB,Si/C 6000 mAh,"Blue, Black, White, Titanium",New,Vivo,50 MP - 200 MP - 50 MP,32 MP,1260 x 2800 pixels,90W
Infinix HOT 40 Pro (8+8GB/256GB) - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/infinix-hot-40-pro-chinh-hang.html,3.390.000 ₫,4.290.000 ₫,"LCD,  6.78 inches,  120Hz",MediaTek Helio G99,Android 13,256GB,8GB,Li-po 5000 mAh,"Black, Blue, Green, Gold",New,Infinix,108 MP - 2MP -0.08 MP,32 MP,2460 x 1080 pixels,33W
Infinix HOT 40i (8+8GB/256GB) - 1 Đổi 1 12 Tháng,https://clickbuy.com.vn/infinix-hot-40i-chinh-hang.html,2.390.000 ₫,3.190.000 ₫,"IPS LCD, 6.56 inches,  90Hz",UNISOC T606,Android 13,128GB/ 256GB,8GB,Li-po 5000 mAh,"Đen Ngân Hà, Xanh Hải Vương, Vàng Kim Tính, Xanh Mộc Tinh",,,50 MP - AI CAM,32 MP,720 x 1612 (HD+),18W
