Diện tích,Phòng ngủ,WC,Giá gốc,Loại,Ngày đăng
104 m²,2 PN,2 WC,2750000000,"Nhà hẻm, ngõ",2025-06-18
100 m²,2 PN,3 WC,1150000000,Nhà mặt tiền,2025-06-18
100 m²,,,5550000000,"Nhà hẻm, ngõ",2025-06-18
80 m²,5 PN,6 WC,39500000000,Nhà mặt tiền,2025-06-18
35 m²,,,4050000000,"Nhà hẻm, ngõ",2025-06-18
64 m²,,,11500000000,"Nhà hẻm, ngõ",2025-06-18
"109,2 m²",,,19200000000,Nhà mặt tiền,2025-06-18
56 m²,,,14800000000,Nhà mặt tiền,2025-06-18
65 m²,1 PN,2 WC,5500000000,"Nhà hẻm, ngõ",2025-06-18
40 m²,4 PN,3 WC,4150000000,"Nhà hẻm, ngõ",2025-06-18
87 m²,,,6300000000,Chung cư,2025-06-18
140 m²,,,33500000000,Nhà mặt tiền,2025-06-18
51 m²,,,8160000000,"Nhà hẻm, ngõ",2025-06-18
55 m²,4 PN,3 WC,3290000000,"Nhà hẻm, ngõ",2025-06-18
68 m²,3 PN,2 WC,2070000000,"Nhà hẻm, ngõ",2025-06-18
50 m²,4 PN,3 WC,2320000000,"Nhà hẻm, ngõ",2025-06-18
70 m²,4 PN,3 WC,2400000000,"Nhà hẻm, ngõ",2025-06-18
"53,7 m²",3 PN,3 WC,7500000000,"Nhà hẻm, ngõ",2025-06-18
180 m²,,,645000000,Đất thổ cư,2025-06-18
54 m²,4 PN,4 WC,7750000000,"Nhà hẻm, ngõ",2025-06-18
51 m²,3 PN,3 WC,1850000000,"Nhà hẻm, ngõ",2025-06-18
62 m²,4 PN,3 WC,2310000000,Nhà mặt tiền,2025-06-18
64 m²,4 PN,3 WC,1890000000,"Nhà hẻm, ngõ",2025-06-18
64 m²,5 PN,5 WC,5500000000,"Nhà hẻm, ngõ",2025-06-18
114 m²,2 PN,2 WC,2450000000,"Nhà hẻm, ngõ",2025-06-18
68 m²,3 PN,3 WC,2520000000,"Nhà hẻm, ngõ",2025-06-18
"42,6 m²",4 PN,3 WC,16800000000,Nhà mặt tiền,2025-06-18
65 m²,3 PN,2 WC,6580000000,"Nhà hẻm, ngõ",2025-06-18
61 m²,2 PN,2 WC,4390000000,Nhà mặt tiền,2025-06-18
74 m²,7 PN,7 WC,12200000000,"Nhà hẻm, ngõ",2025-06-18
300 m²,15 PN,16 WC,29500000000,Nhà mặt tiền,2025-06-18
152 m²,,,44080000000,"Biệt thự, Villa",2025-06-18
85 m²,,,3400000000,"Biệt thự, Villa",2025-06-18
600 m²,,,55000000000,Nhà mặt tiền,2025-06-18
80 m²,,,1600000000,"Nhà hẻm, ngõ",2025-06-18
40 m²,3 PN,2 WC,4500000000,"Nhà hẻm, ngõ",2025-06-18
"64,5 m²",,,4500000000,Nhà mặt tiền,2025-06-18
"27,9 m²",4 PN,5 WC,9600000000,Nhà mặt tiền,2025-06-18
500 m²,,,2950000000,Đất thổ cư,2025-06-18
"106,4 m²",4 PN,5 WC,6000000000,"Nhà hẻm, ngõ",2025-06-18
"122,5 m²",,,18000000000,Đất thổ cư,2025-06-18
200 m²,5 PN,7 WC,75000000000,"Biệt thự, Villa",2025-06-18
340 m²,,,620000000,Đất thổ cư,2025-06-18
90 m²,5 PN,5 WC,8600000000,Nhà mặt tiền,2025-06-18
"64,6 m²",,,8900000000,"Nhà hẻm, ngõ",2025-06-18
238 m²,,,7000000000,"Đất dự án, Khu dân cư",2025-06-18
72 m²,,,4300000000,Nhà mặt tiền,2025-06-18
28 m²,2 PN,2 WC,3480000000,"Nhà hẻm, ngõ",2025-06-18
60 m²,4 PN,4 WC,5590000000,"Nhà hẻm, ngõ",2025-06-18
"58,6 m²",3 PN,3 WC,2730000000,"Nhà hẻm, ngõ",2025-06-18
170 m²,,,1350000000,Đất thổ cư,2025-06-18
602 m²,,,3600000000,Đất thổ cư,2025-06-18
35 m²,3 PN,3 WC,31500000000,Nhà mặt tiền,2025-06-18
93 m²,,,32000000000,"Nhà hẻm, ngõ",2025-06-18
52 m²,,,13800000000,"Nhà hẻm, ngõ",2025-06-18
340 m²,3 PN,1 WC,5500000000,Nhà mặt tiền,2025-06-18
75 m²,,,15500000000,"Nhà hẻm, ngõ",2025-06-18
"86,8 m²",7 PN,8 WC,24500000000,Nhà mặt tiền,2025-06-18
51 m²,11 PN,11 WC,12500000000,"Nhà hẻm, ngõ",2025-06-18
100 m²,,,1450000000,Đất thổ cư,2025-06-18
137 m²,4 PN,4 WC,13000000000,Nhà mặt tiền,2025-06-18
150 m²,2 PN,1 WC,5350000000,Chung cư,2025-06-18
"80,3 m²",,,983680000,Đất thổ cư,2025-06-18
40 m²,,,5500000000,Nhà mặt tiền,2025-06-18
256 m²,14 PN,,29500000000,"Nhà hẻm, ngõ",2025-06-18
142 m²,11 PN,10 WC,15000000000,Nhà mặt tiền,2025-06-18
68 m²,2 PN,2 WC,10900000000,"Nhà hẻm, ngõ",2025-06-18
54 m²,4 PN,3 WC,6500000000,"Nhà hẻm, ngõ",2025-06-18
79 m²,2 PN,2 WC,8660000000,Chung cư,2025-06-18
20 m²,,,123456789,Nhà mặt tiền,2025-06-18
111 m²,20 PN,20 WC,50000000000,Nhà mặt tiền,2025-06-18
840 m²,38 PN,,24000000000,"Nhà hẻm, ngõ",2025-06-18
500 m²,,,9800000000,Đất thổ cư,2025-06-18
104 m²,,,24500000000,"Nhà hẻm, ngõ",2025-06-18
"68,8 m²",7 PN,,31000000000,Nhà mặt tiền,2025-06-18
117 m²,,,44000000000,Nhà mặt tiền,2025-06-18
70 m²,3 PN,3 WC,2230000000,"Nhà hẻm, ngõ",2025-06-18
"227,2 m²",,,470000000000,Nhà mặt tiền,2025-06-18
"100,4 m²",,,1500000000,Đất thổ cư,2025-06-18
25 m²,,,1950000000,"Nhà hẻm, ngõ",2025-06-18
100 m²,3 PN,2 WC,3650000000,"Tập thể, cư xá",2025-06-18
29 m²,,,2000000000,"Nhà hẻm, ngõ",2025-06-18
74 m²,7 PN,,85000000000,Nhà mặt tiền,2025-06-18
36 m²,,,5800000000,Nhà mặt tiền,2025-06-18
"46,4 m²",2 PN,1 WC,2250000000,"Nhà hẻm, ngõ",2025-06-18
39 m²,5 PN,4 WC,7950000000,"Nhà hẻm, ngõ",2025-06-18
"62,5 m²",3 PN,3 WC,2250000000,"Nhà hẻm, ngõ",2025-06-18
140 m²,,,34000000000,Đất thổ cư,2025-06-18
"80,8 m²",6 PN,5 WC,31600000000,"Nhà hẻm, ngõ",2025-06-18
64 m²,4 PN,5 WC,7500000000,"Nhà hẻm, ngõ",2025-06-18
80 m²,,,5200000000,Nhà mặt tiền,2025-06-18
"43,5 m²",,,11000000000,"Nhà hẻm, ngõ",2025-06-18
107 m²,,,12300000000,Nhà mặt tiền,2025-06-18
"24,5 m²",,,2000000000,"Nhà hẻm, ngõ",2025-06-18
300 m²,11 PN,15 WC,28000000000,Nhà mặt tiền,2025-06-18
"59,4 m²",,,18200000000,Nhà mặt tiền,2025-06-18
140 m²,,,58000000000,Nhà mặt tiền,2025-06-18
150 m²,,,26000000000,Nhà mặt tiền,2025-06-18
35 m²,3 PN,2 WC,5300000000,"Nhà hẻm, ngõ",2025-06-18
65 m²,3 PN,3 WC,2120000000,"Nhà hẻm, ngõ",2025-06-18
68 m²,3 PN,,38000000000,Nhà mặt tiền,2025-06-18
83 m²,,,2300000000,Đất thổ cư,2025-06-18
"189,9 m²",5 PN,5 WC,63000000000,Nhà mặt tiền,2025-06-18
"18,2 m²",,,3850000000,"Nhà hẻm, ngõ",2025-06-18
840 m²,,,390000000000,Nhà mặt tiền,2025-06-18
64 m²,,,2600000000,Chung cư,2025-06-18
"89,5 m²",,,68000000000,Nhà mặt tiền,2025-06-18
260 m²,,,115000000000,"Biệt thự, Villa",2025-06-18
91 m²,4 PN,6 WC,18200000000,Nhà mặt tiền,2025-06-18
42 m²,3 PN,2 WC,970000000,"Nhà hẻm, ngõ",2025-06-18
52 m²,4 PN,5 WC,6300000000,"Nhà hẻm, ngõ",2025-06-18
399 m²,,,810000000000,Nhà mặt tiền,2025-06-18
51 m²,4 PN,4 WC,12700000000,"Nhà hẻm, ngõ",2025-06-18
90 m²,,,10000000000,Nhà mặt tiền,2025-06-18
98 m²,,,16000000000,"Nhà hẻm, ngõ",2025-06-18
150 m²,,,8000000000,Nhà mặt tiền,2025-06-18
110 m²,3 PN,3 WC,7500000000,Chung cư,2025-06-18
105 m²,,,109000000000,Nhà mặt tiền,2025-06-18
669 m²,,,780000000000,Nhà mặt tiền,2025-06-18
107 m²,11 PN,,38000000000,Nhà mặt tiền,2025-06-18
68 m²,,,26000000000,Nhà mặt tiền,2025-06-18
"33,1 m²",,,3350000000,"Tập thể, cư xá",2025-06-18
45 m²,3 PN,4 WC,7750000000,"Nhà hẻm, ngõ",2025-06-18
"90,5 m²",,,95000000000,Nhà mặt tiền,2025-06-18
120 m²,2 PN,4 WC,12000000000,Nhà mặt tiền,2025-06-18
240 m²,,,10000000000,"Biệt thự, Villa",2025-06-18
"63,5 m²",,,11600000000,"Nhà hẻm, ngõ",2025-06-18
44 m²,6 PN,5 WC,25000000000,Nhà mặt tiền,2025-06-18
60 m²,5 PN,6 WC,11900000000,"Nhà hẻm, ngõ",2025-06-18
96 m²,5 PN,6 WC,17000000000,"Nhà hẻm, ngõ",2025-06-18
112 m²,7 PN,8 WC,19000000000,Nhà mặt tiền,2025-06-18
"91,5 m²",,,3000000000,Đất thổ cư,2025-06-18
79 m²,,,22500000000,"Nhà hẻm, ngõ",2025-06-18
8.961 m²,,,65000000000,Đất thổ cư,2025-06-18
5.564 m²,,,210000000000,Nhà mặt tiền,2025-06-18
60 m²,,,18000000000,Nhà mặt tiền,2025-06-18
124 m²,,,670000000,Đất thổ cư,2025-06-18
76 m²,5 PN,5 WC,7700000000,"Nhà hẻm, ngõ",2025-06-18
38 m²,,,9550000000,"Nhà hẻm, ngõ",2025-06-18
117 m²,,,6390000000,Nhà mặt tiền,2025-06-18
60 m²,,,6600000000,Đất thổ cư,2025-06-18
35 m²,,,5450000000,"Nhà hẻm, ngõ",2025-06-18
100 m²,,,5800000000,"Đất dự án, Khu dân cư",2025-06-18
55 m²,3 PN,2 WC,1950000000,"Nhà hẻm, ngõ",2025-06-18
35 m²,,,10800000000,Nhà mặt tiền,2025-06-18
39 m²,,,4950000000,"Nhà hẻm, ngõ",2025-06-18
336 m²,,,350000000000,Nhà mặt tiền,2025-06-18
70 m²,5 PN,5 WC,9980000000,"Nhà hẻm, ngõ",2025-06-18
71 m²,,,3100000000,Đất thổ cư,2025-06-18
100 m²,3 PN,3 WC,650000000,Nhà mặt tiền,2025-06-18
132 m²,,,6600000000,Nhà mặt tiền,2025-06-18
126 m²,,,19000000000,Nhà mặt tiền,2025-06-18
24 m²,2 PN,1 WC,2150000000,"Nhà hẻm, ngõ",2025-06-18
"57,3 m²",3 PN,2 WC,1799000000,"Nhà hẻm, ngõ",2025-06-18
36 m²,,,8300000000,"Nhà hẻm, ngõ",2025-06-18
620 m²,,,80000000000,Nhà mặt tiền,2025-06-18
184 m²,,,25500000000,"Nhà hẻm, ngõ",2025-06-18
48 m²,,,8000000000,Nhà mặt tiền,2025-06-18
48 m²,5 PN,4 WC,8900000000,"Nhà hẻm, ngõ",2025-06-18
50 m²,5 PN,,7200000000,"Nhà hẻm, ngõ",2025-06-18
44 m²,4 PN,4 WC,7900000000,"Nhà hẻm, ngõ",2025-06-18
115 m²,8 PN,8 WC,1200000000,Nhà mặt tiền,2025-06-18
99 m²,10 PN,10 WC,22000000000,Nhà mặt tiền,2025-06-18
100 m²,,,6300000000,Đất thổ cư,2025-06-18
"64,2 m²",,,4200000000,"Nhà hẻm, ngõ",2025-06-18
123 m²,,,6300000000,Đất thổ cư,2025-06-18
65 m²,,,39500000000,Nhà mặt tiền,2025-06-18
"60,2 m²",3 PN,3 WC,2380000000,"Nhà hẻm, ngõ",2025-06-18
45 m²,2 PN,2 WC,2790000000,"Nhà hẻm, ngõ",2025-06-18
41 m²,1 PN,1 WC,3250000000,Officetel,2025-06-18
"224,4 m²",,,290000000000,Nhà mặt tiền,2025-06-18
38 m²,,,5000000000,Nhà mặt tiền,2025-06-18
192 m²,,,18000000000,Đất thổ cư,2025-06-18
60 m²,9 PN,7 WC,13600000000,Nhà mặt tiền,2025-06-18
70 m²,2 PN,3 WC,900000000,Nhà mặt tiền,2025-06-18
64 m²,,,10500000000000,"Đất dự án, Khu dân cư",2025-06-18
23 m²,3 PN,3 WC,4370000000,"Nhà hẻm, ngõ",2025-06-18
188 m²,,,123456789,Đất thổ cư,2025-06-18
35 m²,,,7300000000,"Nhà hẻm, ngõ",2025-06-18
60 m²,3 PN,3 WC,930000000,Nhà mặt tiền,2025-06-18
650 m²,,,82000000000,Nhà mặt tiền,2025-06-18
116 m²,,,74888000000,Nhà mặt tiền,2025-06-18
"285,2 m²",,,350000000000,Nhà mặt tiền,2025-06-18
22 m²,2 PN,3 WC,4500000000,"Nhà hẻm, ngõ",2025-06-18
100 m²,6 PN,4 WC,18500000000,Nhà mặt tiền,2025-06-18
"154,8 m²",,,46000000000,Nhà mặt tiền,2025-06-18
"131,5 m²",,,0,Nhà mặt tiền,2025-06-18
"381,7 m²",,,37406000000,Đất thổ cư,2025-06-18
45 m²,4 PN,4 WC,8950000000,"Nhà hẻm, ngõ",2025-06-18
492 m²,4 PN,2 WC,20000000000,Nhà mặt tiền,2025-06-18
60 m²,4 PN,4 WC,7600000000,"Nhà hẻm, ngõ",2025-06-18
64 m²,,,6400000000,"Nhà hẻm, ngõ",2025-06-18
"4.693,9 m²",,,730000000000,Nhà mặt tiền,2025-06-18
60 m²,,,4400000000,"Nhà hẻm, ngõ",2025-06-18
"137,5 m²",6 PN,,5450000000,"Nhà hẻm, ngõ",2025-06-18
60 m²,6 PN,6 WC,26900000000,"Nhà hẻm, ngõ",2025-06-18
160 m²,,,57000000000,Đất thổ cư,2025-06-18
4.238 m²,,,5500000000,"Đất nông nghiệp, kho bãi",2025-06-18
39 m²,2 PN,2 WC,4500000000,"Nhà hẻm, ngõ",2025-06-18
470 m²,,,52000000000,Nhà mặt tiền,2025-06-18
60 m²,3 PN,3 WC,1990000000,"Nhà hẻm, ngõ",2025-06-18
126 m²,,,67500000000,Nhà mặt tiền,2025-06-18
360 m²,,,70200000000,Đất thổ cư,2025-06-18
"290,3 m²",,,200000000000,Nhà mặt tiền,2025-06-18
120 m²,5 PN,5 WC,12600000000,Nhà mặt tiền,2025-06-18
48 m²,2 PN,2 WC,3750000000,"Nhà hẻm, ngõ",2025-06-18
120 m²,,,18000000000,"Nhà hẻm, ngõ",2025-06-18
110 m²,12 PN,10 WC,51000000000,Nhà mặt tiền,2025-06-18
62 m²,4 PN,3 WC,2420000000,"Nhà hẻm, ngõ",2025-06-18
40 m²,,,2200000000,"Nhà hẻm, ngõ",2025-06-18
30 m²,,,2400000000,"Nhà hẻm, ngõ",2025-06-18
50 m²,,,15000000000,"Nhà hẻm, ngõ",2025-06-18
24 m²,2 PN,2 WC,1400000000,"Nhà hẻm, ngõ",2025-06-18
64 m²,4 PN,5 WC,7000000000,"Nhà hẻm, ngõ",2025-06-18
750 m²,,,31000000000,Nhà mặt tiền,2025-06-18
"1.529,4 m²",,,26000000000,Đất thổ cư,2025-06-18
"110,8 m²",,,10600000000,Nhà mặt tiền,2025-06-18
79 m²,,,180020000000,Đất thổ cư,2025-06-18
14.321 m²,,,180000000000,"Đất nông nghiệp, kho bãi",2025-06-18
75 m²,,,48500000000,Nhà mặt tiền,2025-06-18
53 m²,5 PN,6 WC,10800000000,"Nhà hẻm, ngõ",2025-06-18
400 m²,,,220000000000,Nhà mặt tiền,2025-06-18
19 m²,,,4800000000,"Nhà hẻm, ngõ",2025-06-18
