Name_product,New_price,Old_proce,Deal,Gift_detail,Number_of_review,Link_product
Samsung Galaxy A06 4GB 128GB - 1 Đổi 1 12 Tháng,"2,490,000 ₫","3,890,000 ₫",33%,[Từ 07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(42 đánh giá),https://clickbuy.com.vn/samsung-galaxy-a06.html
Samsung Galaxy A06 (5G) 4GB 128GB - 1 Đổi 1 12 Tháng,"2,890,000 ₫","3,990,000 ₫",25%,[Từ 07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(114 đánh giá),https://clickbuy.com.vn/samsung-galaxy-a06-5g-chinh-hang.html
Samsung Galaxy A05S (4G) 4GB 128GB - 1 Đổi 1 12 Tháng,"3,090,000 ₫","3,990,000 ₫",23%,,(64 đánh giá),https://clickbuy.com.vn/samsung-galaxy-a05s-4g-4gb-128gb-chinh-hang.html
Samsung Galaxy S23 Ultra (5G) 8GB 256GB - 1 Đổi 1 12 Tháng,"18,490,000 ₫","31,990,000 ₫",42%,,(17 đánh giá),https://clickbuy.com.vn/samsung-galaxy-s23-ultra-5g-8gb-256gb-chinh-hang.html
INOI A75 6GB 256GB - 1 Đổi 1 12 Tháng,"3,590,000 ₫","3,790,000 ₫",5%,,(0 đánh giá),https://clickbuy.com.vn/inoi-a75.html
Samsung Galaxy A35 (5G) 8GB 128GB - 1 Đổi 1 12 Tháng,"6,490,000 ₫","8,290,000 ₫",22%,,(68 đánh giá),https://clickbuy.com.vn/samsung-galaxy-a35.html
INOI A75 8GB 512GB - 1 Đổi 1 12 Tháng,"4,590,000 ₫","4,990,000 ₫",8%,,(0 đánh giá),https://clickbuy.com.vn/inoi-a75-8gb-512gb.html
Samsung Galaxy A55 (5G) 8GB 128GB - 1 Đổi 1 12 Tháng,"7,990,000 ₫","9,990,000 ₫",20%,,(57 đánh giá),https://clickbuy.com.vn/samsung-galaxy-a55.html
INOI A35 4GB 128GB - 1 Đổi 1 12 Tháng,"1,990,000 ₫","2,390,000 ₫",8%,Phiếu Mua Hàng giảm thêm,(0 đánh giá),https://clickbuy.com.vn/inoi-a35.html
Xiaomi Redmi Note 12 Pro 8GB 256GB - 1 Đổi 1 12 Tháng,"4,990,000 ₫","7,990,000 ₫",38%,,(41 đánh giá),https://clickbuy.com.vn/xiaomi-redmi-note-12-pro-4g-8gb-256gb-chinh-hang.html
TECNO Pova 5 (8+8GB/256GB) - 1 Đổi 1 12 Tháng,"3,590,000 ₫","5,990,000 ₫",37%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(37 đánh giá),https://clickbuy.com.vn/tecno-pova-5-8gb-256gb-chinh-hang.html
Samsung Galaxy A25 (5G) 6GB 128GB - 1 Đổi 1 12 Tháng,"4,890,000 ₫","6,590,000 ₫",26%,,(47 đánh giá),https://clickbuy.com.vn/samsung-galaxy-a25.html
Samsung Galaxy S24 FE (5G) 8GB 128GB - 1 Đổi 1 12 Tháng,"11,990,000 ₫","16,990,000 ₫",28%,[Từ 07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(15 đánh giá),https://clickbuy.com.vn/galaxy-s24-fe.html
Samsung Galaxy S24 FE (5G) 8GB 256GB - 1 Đổi 1 12 Tháng,"13,590,000 ₫","18,490,000 ₫",25%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(0 đánh giá),https://clickbuy.com.vn/samsung-galaxy-s24-fe-5g-8gb-256gb.html
iPhone 11 128GB Chính hãng VN/A - Tặng BH rơi vỡ vào nước,"9,490,000 ₫","21,690,000 ₫",56%,,(269 đánh giá),https://clickbuy.com.vn/apple-iphone-11-128gb-chinh-hang-vn-a.html
Xiaomi Redmi Note 14 Pro (4G) 8GB 256GB - 1 Đổi 1 12 Tháng,"6,490,000 ₫","7,990,000 ₫",16%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(63 đánh giá),https://clickbuy.com.vn/xiaomi-redmi-note-14-pro-4g-chinh-hang.html
Xiaomi Redmi Note 14 Pro (5G) 8GB 256GB - 1 Đổi 1 12 Tháng,"7,790,000 ₫","9,490,000 ₫",16%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(11 đánh giá),https://clickbuy.com.vn/xiaomi-redmi-note-14-pro-5g-chinh-hang.html
TECNO Camon 40 (8+8GB/128GB) - Lỗi 1 đổi 1 12 tháng,"5,190,000 ₫","5,990,000 ₫",10%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(15 đánh giá),https://clickbuy.com.vn/tecno-camon-40-chinh-hang.html
TECNO Pova 5 (8+8GB/128GB) - 1 Đổi 1 12 Tháng,"3,390,000 ₫","4,990,000 ₫",28%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(43 đánh giá),https://clickbuy.com.vn/tecno-pova-5-8gb-128gb-chinh-hang.html
TECNO Camon 30 (8+8GB/256GB) - 1 Đổi 1 12 Tháng,"4,890,000 ₫","6,490,000 ₫",22%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(81 đánh giá),https://clickbuy.com.vn/tecno-camon-30.html
TECNO Spark 20 Pro+ (8+8GB/256GB) - 1 Đổi 1 12 Tháng,"4,390,000 ₫","5,490,000 ₫",18%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(46 đánh giá),https://clickbuy.com.vn/tecno-spark-20-pro-plus.html
TECNO Camon 30S (8+8GB/256GB) - 1 Đổi 1 12 Tháng,"4,490,000 ₫","5,490,000 ₫",15%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(32 đánh giá),https://clickbuy.com.vn/tecno-camon-30s.html
Xiaomi Redmi Note 14 Pro Plus (5G) 8GB 256GB- 1 Đổi 1 12 Tháng,"9,090,000 ₫","10,990,000 ₫",15%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(62 đánh giá),https://clickbuy.com.vn/xiaomi-redmi-note-14-pro-plus-5g-chinh-hang.html
Realme C75X 6GB 128GB - 1 đổi 1 12 tháng,"4,190,000 ₫","4,690,000 ₫",11%,,(20 đánh giá),https://clickbuy.com.vn/realme-c75x.html
Samsung Galaxy Z Fold6 (5G) 12GB 512GB - 1 Đổi 1 12 Tháng,"37,590,000 ₫","47,990,000 ₫",21%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(30 đánh giá),https://clickbuy.com.vn/galaxy-z-fold-6-512gb.html
iPhone 12 128GB Chính hãng VN/A - Tặng BH rơi vỡ vào nước,"10,990,000 ₫","21,600,000 ₫",49%,,(56 đánh giá),https://clickbuy.com.vn/apple-iphone-12-128gb-chinh-hang-vn-a.html
iPhone 14 Plus 128GB VNA - Tặng BH rơi vỡ vào nước,"16,990,000 ₫","28,990,000 ₫",41%,,(12 đánh giá),https://clickbuy.com.vn/iphone-14-plus-128gb-chinh-hang-vna.html
Samsung Galaxy S25 Ultra (5G) 12GB 512GB - 1 đổi 1 12 tháng,"29,790,000 ₫","37,490,000 ₫",19%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(46 đánh giá),https://clickbuy.com.vn/samsung-galaxy-s25-ultra-5g-512gb-chinh-hang.html
iPhone 14 128GB VNA - Tặng BH rơi vỡ vào nước,"12,450,000 ₫","25,990,000 ₫",52%,,(20 đánh giá),https://clickbuy.com.vn/iphone-14-128gb-chinh-hang-vna.html
TECNO Camon 30 (12+12GB/256GB) - 1 Đổi 1 12 Tháng,"5,490,000 ₫","6,990,000 ₫",21%,,(68 đánh giá),https://clickbuy.com.vn/tecno-camon-30-12gb.html
TECNO Camon 20 (8+8GB/256GB) - 1 Đổi 1 12 Tháng,"3,690,000 ₫","4,990,000 ₫",26%,,(50 đánh giá),https://clickbuy.com.vn/tecno-camon-20-8gb-256ggb-chinh-hang.html
TECNO Camon 20 Pro (8+8GB/256GB) - 1 Đổi 1 12 Tháng ,"4,190,000 ₫","5,490,000 ₫",24%,,(61 đánh giá),https://clickbuy.com.vn/tecno-camon-20-pro-8gb-256gb-chinh-hang.html
TECNO Spark 30 (5G) (6+6GB/128GB) - 1 Đổi 1 12 tháng,"3,590,000 ₫","4,490,000 ₫",18%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(19 đánh giá),https://clickbuy.com.vn/tecno-spark-30-chinh-hang.html
TECNO Spark 30C (4+4GB/128GB) - 1 Đổi 1 12 Tháng,"2,290,000 ₫","2,890,000 ₫",17%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(41 đánh giá),https://clickbuy.com.vn/tecno-spark-30c.html
Realme 12 (4G) 8GB 256GB - 1 Đổi 12 Tháng,"4,690,000 ₫","7,990,000 ₫",41%,,(33 đánh giá),https://clickbuy.com.vn/realme-12.html
Xiaomi 15 (5G)  - 1 Đổi 1 12 Tháng,"18,390,000 ₫","21,990,000 ₫",14%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(29 đánh giá),https://clickbuy.com.vn/xiaomi-15-5g-chinh-hang.html
Realme C67 (4G) 8GB 128GB - 1 Đổi 1 12 Tháng,"3,990,000 ₫","4,990,000 ₫",20%,,(59 đánh giá),https://clickbuy.com.vn/realme-c67-5g.html
Honor X5b 4GB 64GB - 1 Đổi 1 12 Tháng,"2,050,000 ₫","2,190,000 ₫",6%,,(11 đánh giá),https://clickbuy.com.vn/honor-x5b-chinh-hang.html
Realme C60 4GB 64GB - 1 Đổi 1 12 Tháng,"2,590,000 ₫","2,990,000 ₫",13%,,(42 đánh giá),https://clickbuy.com.vn/realme-c60.html
Vivo Y03t - 1 Đổi 1 12 Tháng,"2,590,000 ₫","3,290,000 ₫",15%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(11 đánh giá),https://clickbuy.com.vn/vivo-y03t.html
iPhone 15 256GB VN/A - Tặng BH rơi vỡ vào nước,"18,490,000 ₫",,0%,,(7 đánh giá),https://clickbuy.com.vn/iphone-15-256gb.html
Realme C51 -  1 Đổi 1 12 Tháng ,"1,990,000 ₫","3,990,000 ₫",50%,,(49 đánh giá),https://clickbuy.com.vn/realme-c51.html
ZTE Blade A55 - 1 Đổi 1 12 Tháng,"1,690,000 ₫","2,290,000 ₫",26%,,(35 đánh giá),https://clickbuy.com.vn/zte-blade-a55.html
Vivo Y04 - 1 Đổi 1 12 tháng,"2,690,000 ₫","3,990,000 ₫",28%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(0 đánh giá),https://clickbuy.com.vn/vivo-y04-chinh-hang.html
Realme C55 (4G) 6GB 128GB - 1 Đổi 1 12 Tháng,"3,490,000 ₫","4,990,000 ₫",30%,,(38 đánh giá),https://clickbuy.com.vn/realme-c55-4g-6gb-128gb-chinh-hang.html
Vivo Y18s 6GB 128GB - 1 Đổi 1 12 Tháng,"3,690,000 ₫","4,190,000 ₫",7%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(11 đánh giá),https://clickbuy.com.vn/vivo-y18s.html
Vivo Y19s 8GB 128GB - 1 Đổi 1 12 Tháng,"4,190,000 ₫","5,090,000 ₫",14%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(16 đánh giá),https://clickbuy.com.vn/vivo-y19s-chinh-hang.html
Vivo Y100 8GB 256GB - 1 Đổi 1 12 Tháng,"5,890,000 ₫","7,690,000 ₫",21%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(18 đánh giá),https://clickbuy.com.vn/vivo-y100-chinh-hang.html
Vivo V30e 12GB 256GB - 1 Đổi 1 12 Tháng ,"8,790,000 ₫","10,490,000 ₫",14%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(9 đánh giá),https://clickbuy.com.vn/vivo-v30e.html
Vivo V50 Lite (5G) 12GB 256GB - 1 Đổi 1 12 Tháng,"10,190,000 ₫","10,990,000 ₫",5%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(26 đánh giá),https://clickbuy.com.vn/vivo-v50-lite-5g-chinh-hang.html
Vivo Y28 (4G) - 1 Đổi 1 12 Tháng,"5,590,000 ₫",,0%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(30 đánh giá),https://clickbuy.com.vn/vivo-y28-4g-chinh-hang.html
Realme C61 (4G) - 1 Đổi 1 12 Tháng,"2,890,000 ₫","3,590,000 ₫",19%,,(25 đánh giá),https://clickbuy.com.vn/realme-c61-chinh-hang.html
Samsung Galaxy S25 (5G) 12GB 512GB - 1 đổi 1 12 tháng,"20,990,000 ₫","26,490,000 ₫",20%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(48 đánh giá),https://clickbuy.com.vn/samsung-galaxy-s25-512gb.html
Samsung Galaxy S23 Ultra (5G) 12GB 512GB - 1 Đổi 1 12 Tháng,"20,990,000 ₫","36,990,000 ₫",43%,,(0 đánh giá),https://clickbuy.com.vn/samsung-galaxy-s23-ultra-5g-12gb-512gb-chinh-hang.html
Samsung Galaxy Z Flip6 (5G) 12GB 512GB - 1 Đổi 1 12 Tháng,"23,990,000 ₫","32,990,000 ₫",26%,[07.06 - 15.06] GIẢM ĐẬM SALE SÂU giảm thêm,(24 đánh giá),https://clickbuy.com.vn/samsung-galaxy-z-flip-6-512gb.html
