Name_product,New_price,Old_proce,Deal,Gift_detail,Number_of_review,Link_product
Oppo A38 4GB 64GB - 1 Đổi 1 12 Tháng,"3,190,000 ₫","3,990,000 ₫",20%,,(32 đánh giá),https://clickbuy.com.vn/oppo-a38-chinh-hang.html
iPhone 16 Plus 512GB Chính Hãng VN/A,"32,390,000 ₫",,0%,,(47 đánh giá),https://clickbuy.com.vn/iphone-16-plus-512gb.html
iPhone 16e 256GB Chính Hãng VN/A,"18,990,000 ₫",,0%,,(0 đánh giá),https://clickbuy.com.vn/iphone-16e-256gb.html
Oppo A78 (4G) 8GB 256GB - 1 Đổi 1 12 Tháng,"5,990,000 ₫","6,990,000 ₫",14%,,(28 đánh giá),https://clickbuy.com.vn/oppo-a78-chinh-hang.html
iPhone 16 Pro 512GB Chính Hãng VN/A,"34,490,000 ₫",,0%,,(47 đánh giá),https://clickbuy.com.vn/iphone-16-pro-512gb.html
Realme Note 60X 3GB 64GB - 1 Đổi 1 12 Tháng ,"2,090,000 ₫","2,990,000 ₫",30%,,(15 đánh giá),https://clickbuy.com.vn/realme-note-60x.html
Realme Narzo 50i 4GB 64GB - 1 Đổi 1 12 Tháng ,"2,790,000 ₫","3,190,000 ₫",13%,,(10 đánh giá),https://clickbuy.com.vn/realme-narzo-50i-4gb-64gb-chinh-hang.html
Nokia C32 4GB 128GB Chính Hãng,"1,790,000 ₫","3,290,000 ₫",46%,,(0 đánh giá),https://clickbuy.com.vn/nokia-c32-4gb-128gb-chinh-hang.html
Nokia 105 4G Pro (2023) Chính Hãng,"899,000 ₫","780,000 ₫",-15%,,(0 đánh giá),https://clickbuy.com.vn/nokia-105-4g-pro-2023-chinh-hang.html
Nokia 110 4G Pro (2023) Chính Hãng,"739,000 ₫","810,000 ₫",9%,,(0 đánh giá),https://clickbuy.com.vn/nokia-110-4g-pro-2023-chinh-hang.html
Nubia Red Magic 8 Pro 8GB 256GB Box,Liên hệ,,0%,,(3 đánh giá),https://clickbuy.com.vn/nubia-red-magic-8-pro-8gb-256gb-box.html
Nubia Red Magic 8 Pro Plus 12GB 256GB Box (Snapdragon 8 Gen 2),Liên hệ,,0%,,(2 đánh giá),https://clickbuy.com.vn/nubia-red-magic-8-pro-plus-12gb-256gb-box.html
Samsung Galaxy S24 Plus (5G) 12GB 512GB - 1 Đổi 1 12 Tháng,"19,990,000 ₫","30,490,000 ₫",34%,,(35 đánh giá),https://clickbuy.com.vn/samsung-galaxy-s24-plus-512gb.html
TCL 406S 4GB 64GB - 1 Đổi 1 12 Tháng,"1,790,000 ₫","2,190,000 ₫",14%,"Học sinh, sinh viên giảm thêm",(43 đánh giá),https://clickbuy.com.vn/tcl-406s.html
ZTE Nubia V60 Design (6+10GB/ 256GB) - 1 Đổi 1 12 Tháng,"2,490,000 ₫","3,290,000 ₫",24%,,(32 đánh giá),https://clickbuy.com.vn/nubia-v60d.html
INOI A54 4GB 256GB - 1 Đổi 1 12 Tháng,"2,690,000 ₫","2,990,000 ₫",10%,,(10 đánh giá),https://clickbuy.com.vn/inoi-a54-chinh-hang.html
INOI 244 (4G) - 1 Đổi 1 12 Tháng,"690,000 ₫",,0%,,(8 đánh giá),https://clickbuy.com.vn/inoi-244-4g.html
INOI 240 (4G) - 1 Đổi 1 12 Tháng,"590,000 ₫",,0%,,(12 đánh giá),https://clickbuy.com.vn/inoi-240-4g.html
