Name,Singer
SOS,"ANH TRAI SAY HI, RHYDER, CAPTAIN BOY, Quang Hùng MasterD, WEAN, Ali Hoàng Dương"
"Quá Khứ Đôi, Hiện Tại Đơn",Đức Phúc
La Bebe (David Guetta Remix),"Yng Lvcas, Peso Pluma, David Guetta"
Cụp Cái Pha Xuống,Willistic
Khi Một Người Bước Ra Khỏi Cuộc Đời Một Người,Trương Thảo Nhi
232 Tuổi (Hoành Tráng Ver.),The Flob
Vô Tree,Keyo
NGÂN NGA,"ANH TRAI SAY HI, Isaac, HURRYKNG, Negav, Gin Tuấn Kiệt, Vũ Thảo My"
Chiếc Khăn Piêu (feat. Đinh Nhật Minh Flute),"Cường Seven, SOOBIN, Tự Long, Tuấn Hưng, Jun Phạm, Thanh Duy, (S)TRONG, Đăng Khôi"
Die With A Smile,"Lady Gaga, Bruno Mars"
You & Me,JENNIE
Home Is Where The Hurt Is,LANY
The Peak,SEKAI NO OWARI
DELRESTO (ECHOES),"Beyoncé, Travis Scott"
Xóa Tên Anh Đi,Jack - J97
Paint The Town Red,Doja Cat
Dance Around It (Joel Corry Vip Mix),"Joel Corry, Caity Baser"
Float (Feat. Seun Kuti & Egypt 80),Janelle Monáe
Anh Sẽ Nhớ Mãi,"Bùi Công Nam, Tăng Phúc, Neko Lê, BB Trần, Thiên Minh"
Pony,Đang Cập Nhật
Jungle,"Alok, The Chainsmokers, Mae Stephens"
Hỏa,"Hoàng Tôn, 16 Typh"
Cupid (Twin Ver.) [Slowed Down Version],Đang Cập Nhật
LOVE YOU!,Đang Cập Nhật
Moonlight Sunrise,TWICE
Hero,"Martin Garrix, JVKE"
Unhealthy (Acoustic),Anne-Marie
Rodeo Remix (Feat. Flo Milli) [slowed + Reverb],Lah Pat
Phù Hộ Cho Con,"24k.Right, B Ray, Dick, Hipz"
Eyes On You (มองนานๆ),"Vitamin A - FLI:P, Hải Đăng Doo, Kelvin- Kesley Alves"
Crush (Explicit),"Bella Poarch, Lauv"
Call On Me,Bebe Rexha
Don't Say Love,Leigh-Anne
UNHEALTHY,"Anne-Marie, Shania Twain"
Satisfaction,Darin
Voices (Feat. Oliver Tree),KSI
Vẫn,"24k.Right, Hipz, Huỳnh Tú"
Butterflies,Stray Kids
MỘNG YU,"AMEE, MCK"
Oh U Went (Explicit),"Young Thug, Drake"
Mirage (For Assassin's Creed Mirage),"OneRepublic, Assassin's Creed, Mishaal Tamer"
Can’t Forget You,"James Carter, Ofenbach"
Ngày Em Nói,T.R.I
Break My Soul (The Queens Remix),"Beyoncé, Madonna"
Be Who You Are (Real Magic),"Jon Batiste, JID, NewJeans, Camilo"
Tip Toe,HYBS
Pandora,MAVE:
id thang máy,"W/n, 267"
WOMAN’S WORLD,Katy Perry
Dìu Em Lên Mây,"Only C, Nguyễn Phúc Thiện"
Hỏa Ca,Call Me By Fire - Anh Trai Vượt Ngàn Chông Gai 2024
SÓNG VỖ VỠ BỜ,"ANH TRAI SAY HI, Anh Tú, JSOL, ERIK, Dương Domic, Phạm Anh Duy"
‘anhduong’ (feat. Ninh Dương Story),Lâm Phúc
BUSINESS MODE,"$A Milo, Gxxfy, Obito, B-Wine"
"You're On Your Own, Kid",Taylor Swift
One More Time,Mahiru Coda
Bất Nhiễm / 不染 (Hương Mật Tựa Khói Sương OST),Mao Bất Dịch (Mao Bu Yi)
Anh Cũng Muốn Là Đứa Trẻ,Khiem
Biết Nhưng Cố Vấn,Đang Cập Nhật
Nukumori,Takaya Kawasaki
06 Gucci (Feat. Dababy & 21 Savage),Đang Cập Nhật
Until I Found You,Stephen Sanchez
Acróstico (Milan Y Sasha),Shakira
Death,Melanie Martinez
ĐỜI THẬT RAP THẬT,16 Typh
Nếu Anh Chẳng Còn Thức Dậy,Nguyenn
Hold On Tight,aespa
Tỉnh Thức Sau Giấc Ngủ Đông,"Bằng Kiều, Binz, Hồng Sơn, S.T Sơn Thạch"
If I Ain'T Got You (Orchestral),"Alicia Keys, Queen Charlotte's Global Orchestra"
Set Me Free,TWICE
Tình Như Trò Chơi,thaison!
Juliet,AleXa
Eyes Closed (Overmono Remix),Ed Sheeran
Hắc Nguyệt Quang / 黑月光 (Trường Nguyệt Tẫn Minh OST),"Trương Bích Thần (Zhang Bi Chen), Mao Bất Dịch (Mao Bu Yi)"
Moon Cycle,Melanie Martinez
Từ Từ Phải Bình Tĩnh,GreenD
Kết Thúc Mở,Vương Anh Tú
HÀO QUANG,"RHYDER, Dương Domic, Pháp Kiều, ANH TRAI SAY HI"
Chúng Ta Bấy Lâu Nay Là…  (Live Session),"Phạm Quỳnh Anh, Trung Quân"
IF U KNOW U KNOW,"RPT TC, Kriss Ngo"
Dum Dum,Jeff Satur
Get To Gettin’ Gone,Bailey Zimmerman
Must Be Nice,Ruel
A Year Ago,James Arthur
Hoo Whee Hoo,Đang Cập Nhật
Mê Trận Lắm Lối,"Mai Xuân Thứ, COCHA"
Ô Hay,"Hải Yến Idol, Vũ Đặng Quốc Việt"
Còn Thương Thì Không Để Em Khóc (Live),Đang Cập Nhật
Gonna Be You,"Linh Ka, Will"
Chi Con Trong Giac Mo,"Min Min, Lemese"
Lấy Tên Anh,"RPT TC,"
Đừng Giận Anh Em Nhé (From Dickson Acoustic),DICKSON
Miracle,"Calvin Harris, Ellie Goulding"
Lay Low (Nick Strand X Mio Remix),Tiesto
What If Love,UP10TION
Me,Kelly Clarkson
Say Yes To Heaven,Lana Del Rey
Ở Lại,"Dick, Bí Nhe"
Để Mua Cho Em Một Đóa Hoa Hồng Xinh (Yêu Xa),dNam
Hoa Hồng Gai…y!,"Pháp Kiều, RAP VIỆT"
Dạo Chơi,gung0cay
Nếu Em Được Lựa Chọn,Phượng Vũ
Ước Mơ Của Mẹ,Soái Nhi
Níu Duyên (TiJak Remix),"Lê Bảo Bình, TiJak"
em khiến anh muốn trở thành người Hà Nội,Negav
Mùa Hè Năm Ấy,"MiiNa (DREAMeR), DREAMeR"
Anh Đã Từng,"FSRio, 2Hoang"
Khu Vườn Nhà Thơ,Góp Thong Thả
Lao Tâm Khổ Tứ,Thanh Hưng
Vội Vàng,dNam
I Like Me Better Now,Kim Chi Sun
Love War,"YENA, BE'O"
Flare,Hensonn
pompara’e,Jevin Julian
Cô Đơn,"Hngle, Niz, Ari"
Mai Ta Gặp Lại,WHEE!
That’s Not How This Works,"Charlie Puth, Dan + Shay"
11:11 (11 Giờ 11 Phút),"MiiNa (DREAMeR), RIN9, Bảo Uyên, DREAMeR"
Không Yêu Trả Dép Tôi Về,HuyR
Càng Yêu Càng Sai,Thanh Hà
Womxnly,From The First Take - Thái Y Lâm (Jolin Tsai)
Vega,Ed Sheeran
立夏时年青,Trạch Tiêu Văn (Zhai Xiao Wen)
Lay Low,Katy B
Miracle (Hardwell Remix),"Calvin Harris, Ellie Goulding"
Fly Girl,"FLO, Missy Elliott"
The Day That I Met You,Matilda Mann
Set Me Free Pt.2,Jimin (BTS)
Roar,Đang Cập Nhật
I Hate You When You're Drunk,Đang Cập Nhật
Don't Leave Me Lonely,"Clean Bandit, Elley Duhe"
Chiều Hôm Ấy,"Trần Nghĩa, Vũ Đặng Quốc Việt"
Mưa Trong Lòng,"Tùng Maru, Vũ Phụng Tiên"
Spit In My Face!,ThxSoMch
Koigoromo,Arcana Project
Haven'T You Ever Been In Love Before?,Lewis Capaldi
Lipstick Lover,Janelle Monáe
Timeless (Feat. Dj Spinking) [sped Up Version],"A Boogie Wit Da Hoodie, sped up nightcore"
Piss Off / 好了啦,GBOYSWAG
Sakurausagi (2023),Takaya Kawasaki
Take Two,BTS (Bangtan Boys)
Searching For Sugar Man (Feat. Young Hysan),Phùng Duẫn Khiêm (Jay Fung)
Mất anh em tìm lại thấy chính mình,Lưu Hương Giang
Praising You (Jodie Harsh Remix),"Rita Ora, Fatboy Slim"
Yandel 150,Đang Cập Nhật
Lavender Haze (Explicit),Taylor Swift
Merry Christmas Darling,Lennon Stella
Shut Down,BLACKPINK
Bigger Than Me,Louis Tomlinson
Without You,Đang Cập Nhật
We’ll Never Change,TXT (TOMORROW X TOGETHER)
People (Sped Up),"Libianca, sped up + slowed"
Heartbreaker,Birdy
Self,portrait (Alex Chapman Remix) - Talia Mar
Karma (Explicit),"Taylor Swift, Ice Spice"
Kimi No Bouken,okazakitaiiku
Married Young,Jake Scott
End Of Youth,Ed Sheeran
Eat The Acid,Kesha
Upside Down (Feat. Poppy Baskcomb),Meduza
Zero,NewJeans
Lights Out,"SUNMI, BE'O"
I Don't Wanna Be Like You (Explicit),Ruel
Empty House,GANGGA
10:35,"Tiesto, Tate McRae"
Nonsense,Sabrina Carpenter
Gimme,"Sam Smith, Koffee, Jessie Reyez"
Don'T Cry For Me (Darkchild Film Version),Whitney Houston
Sittin' On Top Of The World (Feat. 21 Savage),Burna Boy
Lucid (English Version),Jeff Satur
World Class Sinner / I’m A Freak,Lily-Rose Depp
對我上膛,乃思婷
Magic,Flumpool
Part Of Your World (Reprise) (The Little Mermaid 2023 Ost),Đang Cập Nhật
Dance The Night (From Barbie The Album),Dua Lipa
Ngỏ Lời,Đang Cập Nhật
Rolling,"Richie D. ICY, AXTROBOY"
Anh Đánh Rơi Người Yêu Này,"Andiez, AMEE"
Runaway,OneRepublic
No More Sad Songs,Đang Cập Nhật
U R My TOBACCO,Shawn
How Much I Miss You,Thời Đại Thiếu Niên Đoàn (TNT)
Just Relax,Lola Brooke
Green (Feat. Soovi),Bang Yongguk
Before Midnight,Parc Jae Jung
Naked,"Richie D. ICY, Gill, Blacka"
Chỉ Khi Anh Một Mình (Livestage),Đạt G
Fallin’,"Feliks Alvin, Linh"
Bud,Park Hyungsik
Inhale / Exhale (With Sabrina Claudio),Đang Cập Nhật
Witch,TRI.BE
Kitsch,IVE
Fight The Feeling,Rod Wave
I Wanna Live Forever,Đang Cập Nhật
Chico Malo,Đang Cập Nhật
Lost,Linkin Park
Beso,"Rosalía, Rauw Alejandro"
Đã Từng,"VSOUL, tlinh"
Buồn Cũ Chiều Thu,"Anh Khoa, Rum"
Ngày Biệt Ly (Losing),Quang Hùng MasterD
Mùi Hoa Sữa,Lemon Climb
Con Chim Phiêu Diêu,Hali
Môi Chạm Môi,KayZ
Anh Sẽ Cố Quên,Hà Huy Hiếu
Nửa Đêm Về Nhà,"14 Casper, Bon Nghiêm"
Meet You At The Right Time,Avi
Missin U,Tori Kelly
Always With You,Đang Cập Nhật
Jaded (Explicit),Miley Cyrus
Chỉ Còn Lại Khoảng Trống,Huỳnh Tú
Hình Trái Tim,Đang Cập Nhật
Just Believe,MTV Band
Độc Nhất,Đang Cập Nhật
Rời Xa Để Quên Em,Hà Huy Hiếu
Minh Ơi,Đoàn Thúy Trang
Together We Fly (Wind.P Remix),Thảo Trang
Both Of Us,Mimi Webb
"Young, Dumb, Stupid",NMIXX
I ≠ Doll,HUH YUNJIN
Tqg,"Karol G, Shakira"
ch!ll (chill nặng luôn),"festo, Ók’ssTT0, LeHai"
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez"
VIBE,"Taeyang, Jimin (BTS)"
"Closer (with Paul Blanco, Mahalia)","RM (BTS), Paul Blanco, Mahalia"
Radio,"Sigala, MNEK"
The Christmas Sweater,Michael Buble
Avo Toast,Clinton Kane
Walking In The Air,Birdy
Skinny Ape,Gorillaz
Set For Life,Noah Cyrus
Have Yourself A Merry Little Christmas,Birdy
Yêu,7UPPERCUTS
anh noi roi ma,"Par SG, NÂN"
Mẹ Yêu,Đang Cập Nhật
When I Move,KARA
Fire Boy,PP Krit
Boy Bi,Mad Tsai
Bad Boy (Feat. Big Naughty),Mirani
I'M THAT BITCH,"BiA, Timbaland"
SAD B!TCH (IVY Remix),Anne-Marie
Bang Bang!,Nessa Barrett
Love’s Train,"Bruno Mars, Anderson .Paak, Silk Sonic"
BAD B,"ShanHao, $A Milo, Gxxfy"
Hay là ...,Tô Ra
Chê Hộ,"Wxrdie, Gill, Lucin3x"
ỐI DỒI ÔI,"Andiez, Phu Nho"
Have Yourself A Merry Little Christmas,Clinton Kane
Idol / アイドル,YOASOBI
Waiting For You,Tiêu Kính Đằng (Jam Hsiao)
Smile Agenai,Ano
BIBI Vengeance (feat. Baby Tate) [Remix],"BIBI, Princesa Alba"
Alright,"Sam Fischer, Meghan Trainor"
Matsuri,Fujii Kaze
Still Here,slchld
It'S Ok!,corook
Double Fantasy,"The Weeknd, Future"
It's Your Turn (Feat. Futuristic Swaver),JAEHA
One Second (With Kim Suyoung),Đang Cập Nhật
Steal The Show,"SHAUN, Jeff Satur"
Teddy Bear,STAYC
King Snipe,Đang Cập Nhật
You're Here With Rain (With Chamsom),Saevom
12% (Original Soundtrack “12%”),Wan Thanakrit
Creepin',"Metro Boomin, The Weeknd, 21 Savage"
Lời Mời Gọi,"RPT JasonDilla, Kiểm"
Big Energy (Remix),"Latto, Mariah Carey, DJ Khaled"
Another Nasty Song,Latto
Worst Day (Stripped Version),"ILLENIUM, MAX"
OMG,NewJeans
If You'Re Blue,"Joan Jett, The Blackhearts"
Middle Ground,Đang Cập Nhật
Vacation Eyes,Đang Cập Nhật
Thất Ước Của Anh,"Ngân Nara, Phan Âu Nhựt"
Yaochen,Diêu Sâm (Yao Chen)
Shoong!,"Taeyang, LISA"
Cyber Crush (Extended Version),"Lục Huy, Daduc"
Like This Like That,"Tóc Tiên, tlinh"
Dawn,Kim Woo Seok
Good Friends,Maren Morris
Home And Dry,Andy Love
Tung Hoành Vũ Trụ / 纵横宇宙 (Spider,man: Across The Spider-verse OST) - Lộc Hàm (Lu Han)
"Shakira: Bzrp Music Sessions, Vol. 53","Bizarrap, Shakira"
Back To You,Karen Harding
Sleepwalking,All Time Low
Ordinary World,Adam Lambert
Chẳng Biết Do Ai,"SuperC, Halee, datfitzx"
Mùa Hè Tuyệt Vời (Lalawonder),Đức Phúc
Mộng Uyên Ương Hồ Điệp,Đang Cập Nhật
ÁNH HÀO QUANG,Ưng Hoàng Phúc
Sao Chẳng Nói Chia Tay,Bozitt
Thật Lòng Xin Lỗi Em,Phạm Khánh Hưng
Cà Phê,Đang Cập Nhật
Ku Lo Sa,"Oxlade, Camila Cabello"
Gambler (7 Version),Madonna
Puffin On Zootiez (Explicit),Future
Die For You,Joji
Left And Right,"Charlie Puth, Jung Kook (BTS)"
KHÔNG CÒN AI,"Krix, t h a n h"
Anh Thì Nah,52Hz
Tình Yêu Khủng Long (TiJak City Pop Remix),"FAY, TiJak"
"7 Tỷ Người, Tìm Thấy Anh Rồi",Trương Quỳnh Anh
chi la tam thoi,Par SG
Tình Em Là Đại Dương,"Cầm, Duy Mạnh"
Nếu Anh Muốn Đổi Vai (Rap Version),"UMIE, Lil Tian, Hổ"
Có Một Ngày Trời Không Nắng,Thái Đinh
Hồi Kết (Live At I See You Concert),Hà Nhi
Mắt Xanh,"Gill, tlinh, Kewtiie"
Mưa Ơi Đừng Rơi (Meomeo Vesion),"Cầm, WOKEUP"
Có Duyên Không Phận,Chilly
Tình Yêu Một Chiều,"Min Min, Chú Gián Nhỏ"
dỗi ít thôi ôm đê (ShenlongZ Remix),"Phúc Du, AMEE"
You're Mine,"Kiper T, Nart"
Dù Khóc Một Dòng Sông,"Mai Tiến Dũng, Thuỳ Chi"
Bóng Rổ,"gung0cay, Kriss Ngo"
Model,VSOUL
Làm sao để quên anh,The Sheep
Sợ Ta Mất Nhau (Vux Lofi),"Châu Khải Phong, ACV"
Vàng Bạc Châu Báu,VP Bá Vương
Go (Piano Version),Cat Burns
I Want To,Gram
GOTTA GO,DUCCI
Dientes,"J Balvin, Usher, DJ Khaled"
Fairweather Friends,Oliver Tree
Fake As Hell (with Avril Lavigne),All Time Low
Cà Phê (Sped Up Version),Đang Cập Nhật
Demons,Doja Cat
Cheese,CRAVITY
Panorama,Đang Cập Nhật
Notes From A Wrist,d4vd
Old Habits,"hongjoin, Marian Carmel"
The Flash,Đang Cập Nhật
Con Hơn Cha Là Nhà Có Phúc,"Hải Đăng Doo, Weeza"
Luôn Yêu Đời (Remix),"Đen, Cheng, Low G"
Yêu Nhau Bao Lâu?,Simon C
Kiss You (Speed Up Version),"Quỳnh Ori, SanV"
Lấy Tên Anh,"RPT TC, TDO Kwan"
Never Grow Up,Niall Horan
Hollywood Bowl,Đang Cập Nhật
Cowboys And Angels (Explicit),Jessie Murph
Show Me How,Foo Fighters
Mourning,Post Malone
không biết nên vui hay buồn,"Bảo Anh, Kai Đinh, Táo"
Switch Position,"prettyXIX, Trungng"
Em Với Anh,"Catchellers, Huy Vũ"
Trôi Như Cơn Mơ,"CHICHA22, Kim Chi Sun, CHARLES."
American Jesus (Demo),Nessa Barrett
Do U Want Me Baby? (Sam Ryder Acoustic),"Joel Corry, Billen Ted"
Seed,Taeyang
Never Felt So Alone,Labrinth
You Just Walked In My Life,Chanmina
Slow Motion,"Don Toliver, WizKid"
