Name,Price (new),Price (old),Price (original),Description,Sold,Discount,Discount Rate,Rating,Review Count,Author,Công ty phát hành,Ngày xuất bản,Loại bìa,Phương thức giao hàng Seller Delivery,Nhà xuất bản,Phiên bản sách,Kích thước,Dịch Giả,Số trang,Thương hiệu,Xuất xứ thương hiệu,Xuất xứ (Made in),Chất liệu,Sản phẩm có được bảo hành không?,Bookcare,Ngôn ngữ
Tận Hưởng Hành Trình Nuôi Con Sữa Mẹ,92388,132000,132000,"Giới thiệu“Như một lẽ tự nhiên và như bản năng, các loài động vật có vú khi sinh ra đã có sữa mẹ của chúng để bú trong những tháng sơ sinh trước khi chúng biết ăn. Loài người không phải là ngoại lệ. ...",1938,39612,30,4.8,61,BS. Lê Ngọc Anh Thy,Nhã Nam,2022-11-11 00:00:00,Bìa mềm,,Nhà Xuất Bản Thế Giới,Phiên bản thường,14 x 20.5cm,,287,,,,,,,
Giấy gói quà / giấy quà tặng/ giấy bao tập cao cấp,15000,25000,25000,"Những tờ hoạ tiết xinh xắn có kích thước lớn còn có thể sử dụng để gói quà tặng trong các dịp sinh nhật, kỉ niệm cho bạn bè và người thân.ƯU ĐIỂM:Màu sắc nhẹ nhàng, đơn giản. Kích thước lớn dễ dàng ...",963,10000,40,4.8,41,N/A,,,,,,,,,,HARIN,Việt Nam,Việt Nam / Trung Quốc,,Không,,
"Súng, Vi Trùng Và Thép (Tái bản)",246000,339000,339000,"“Súng, vi trùng và thép: Định mệnh của các xã hội loài người” là cuốn sách khoa học phổ thông thứ hai và nổi tiếng nhất của Jared Diamond, được xuất bản lần đầu trên thế giới vào năm 1997.Cuốn sách đ...",1352,93000,27,5.0,107,Jared Diamond,OMEGA PLUS+,2022-10-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Thế Giới,Phiên bản thường,16 x 24 cm,Trần Tiễn Cao Đăng,660,,,,,,,
Dinh Dưỡng Học Bị Thất Truyền - Dinh Dưỡng Đẩy Lùi Bệnh Tật,122000,178000,178000,"DINH DƯỠNG HỌC BỊ THẤT TRUYỀN - Sách bán chạy hơn 500.000 nghìn bảnĐông y nói “thực dược đồng nguyên” - thức ăn và thuốc cùng chung nguồn gốc, hay thức ăn chính là thuốc; thế nên việc ăn uống của ch...",5017,56000,31,5.0,364,Vương Đào,Huy Hoàng Bookstore,2022-01-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Dân Trí,Phiên bản thường,13.5 x 20.5 cm,Lương Ngân,456,,,,,,,
Và Rồi Chẳng Còn Ai (Agatha Christie),77000,110000,110000,"“Mười…” Mười người bị lừa ra một hòn đảo nằm trơ trọi giữa biển khơi thuộc vịnh Devon, tất cả được bố trí cho ở trong một căn nhà. Tác giả của trò bịp này là một nhân vật bí hiểm có tên “U.N.Owen”.“C...",2194,33000,30,5.0,431,Agatha Christie,NXB Trẻ,2021-07-01 00:00:00,Bìa mềm,,NXB Trẻ,Phiên bản thường,13 x 20 cm,Việt Hà,296,,,,,,,
Bí Mật Tư Duy Triệu Phú (Tái Bản),86400,108000,108000,"""Ai cũng có một cuộc sống, ai cũng làm việc cần cù, ai cũng ước mơ được thành công, nhưng không mấy ai may mắn học được cách tư duy độc đáo và tầm nhìn của những tỷ phú lừng danh đã tiết lộ trong cuốn...",412,21600,20,5.0,47,T.Harv Eker,First News - Trí Việt,2021-06-01 00:00:00,Bìa mềm,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Tổng hợp TP.HCM,,14.5 x 20.5 cm,Kim Liên,292,,,,,,,
Sách Sức Mạnh Tiềm Thức (Tái Bản) (Bìa Mềm),102400,128000,128000,"Sức Mạnh Tiềm Thức (Tái Bản)Là một trong những quyển sách về nghệ thuật sống nhận được nhiều lời ngợi khen và bán chạy nhất mọi thời đại, Sức Mạnh Tiềm Thức đã giúp hàng triệu độc giả trên thế giới đ...",1607,25600,20,5.0,141,Joseph Murphyc,First News - Trí Việt,2021-06-01 00:00:00,Bìa mềm,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Tổng hợp TP.HCM,,14.5 x 20.5 cm,Bùi Thanh Châu-Mai Sơn,336,,,,,,,
Muôn Kiếp Nhân Sinh 2,201000,268000,268000,CUỐN SÁCH CỦA NHỮNG CÁNH BƯỚM RUNG ĐỘNGTác phẩm Muôn Kiếp Nhân Sinh tập 1 của tác giả Nguyên Phong xuất bản giữa tâm điểm của đại dịch đã thực sự tạo nên một hiện tượng xuất bản hiếm có ở Việt Nam. C...,3655,67000,25,5.0,754,Nguyên Phong,First News - Trí Việt,2021-04-01 00:00:00,Bìa mềm,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Tổng hợp TP.HCM,,14.5 x 20.5 cm,,540,,,,,,,
Khởi Nghiệp Tinh Gọn (The Lean Startup) (Tái Bản),132000,165000,165000,"Khởi Nghiệp Tinh GọnCuốn sách ""Khởi nghiệp Tinh gọn"" (The Lean Startup) trình bày một mô hình khởi nghiệp vang danh toàn cầu, giúp thay đổi toàn bộ cách thức xây dựng công ty và tung ra sản phẩm mới ...",101,33000,20,4.6,15,Eric Ries,Viện Quản lý PACE,2021-04-01 00:00:00,Bìa cứng,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Tổng hợp TP.HCM,,15 x 23 cm,"Nguyễn Dương Hiếu, Trịnh Hoàng Kim Phượng, Đặng Nguyễn Hiếu Trung",336,,,,,,,
Thợ Xăm Ở Auschwitz,133200,148000,148000,"Thợ xăm ở Auschwitz là một tài liệu khác thường, được công bố hơn bảy mươi năm sau những sự kiện nó thuật lại, và nó nhắc nhở chúng ta rằng có rất nhiều câu chuyện sẽ mãi mãi không bao giờ được kể. Nó...",40,14800,10,4.8,11,Heather Morris,Nhã Nam,2020-10-01 00:00:00,Bìa mềm,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Văn Học,,14 x 20.5 cm,Lan Huế,384,,,,,,,
