New news,Time,Link
"Chương trình đào tạo năng lực số cho sinh viên chuyên đề: ""Ứng dụng Trí tuệ nhân tạo trong học tập và nghiên cứu khoa học""",15/04/2025 02:40 SA,https://www.utc.edu.vn/chuong-trinh-dao-tao-nang-luc-so-cho-sinh-vien-chuyen-de-ung-dung-tri-tue-nhan-tao-trong-hoc-tap-va-nghien-cuu-khoa-hoc-
Lãnh đạo Nhà trường tham dự Hội thảo CLB KH-CN các trường ĐH kỹ thuật lần thứ 60 và ký kết biên bản ghi nhớ hợp tác về lĩnh vực cơ khí đường sắt,11/04/2025 09:43 CH,https://www.utc.edu.vn/lanh-dao-nha-truong-tham-du-hoi-thao-clb-kh-cn-cac-truong-dh-ky-thuat-lan-thu-60-va-ky-ket-bien-ban-ghi-nho-hop-tac-ve-linh-vuc-co-khi-duong-sat
Tiếp và làm việc với Tập đoàn Marvell (Hoa Kỳ),09/04/2025 05:43 CH,https://www.utc.edu.vn/tiep-va-lam-viec-voi-tap-doan-marvell-hoa-ky-
"Đội tuyển Trường Đại học GTVT giành một giải Nhất, ba giải Nhì và ba giải Ba tại Kỳ thi Olympic Toán học sinh viên và học sinh toàn quốc lần thứ 31",05/04/2025 06:21 CH,https://www.utc.edu.vn/doi-tuyen-truong-dai-hoc-gtvt-gianh-mot-giai-nhat-ba-giai-nhi-va-ba-giai-ba-tai-ky-thi-olympic-toan-hoc-sinh-vien-toan-quoc-lan-thu-37
Trường Đại học GTVT tiếp và làm việc với đoàn chuyên gia thuộc dự án ACCEES,04/04/2025 05:39 CH,https://www.utc.edu.vn/truong-dai-hoc-gtvt-tiep-va-lam-viec-voi-doan-chuyen-gia-thuoc-du-an-accees
"Trường Đại học Giao thông vận tải nghiên cứu, khảo sát đầu tư tại Khu Đại học Nam Cao, Hà Nam",02/04/2025 06:30 SA,https://www.utc.edu.vn/truong-dai-hoc-giao-thong-van-tai-nghien-cuu-khao-sat-dau-tu-tai-khu-dai-hoc-nam-cao-ha-nam
Trường Đại học Giao thông vận tải tiếp nhận thiết bị do Công ty TNHH Nissan Automotive Technology Việt Nam tài trợ,01/04/2025 09:02 SA,https://www.utc.edu.vn/truong-dai-hoc-giao-thong-van-tai-tiep-nhan-thiet-bi-do-cong-ty-tnhh-nissan-automotive-technology-viet-nam-tai-tro
Trường Đại học Giao thông vận tải tham gia Dự án “Thúc đẩy hệ sinh thái công nghệ số trong giáo dục ĐH Việt Nam (ACCEES)” do Liên minh Châu Âu tài trợ,31/03/2025 05:15 CH,https://www.utc.edu.vn/truong-dai-hoc-giao-thong-van-tai-tham-gia-du-an-thuc-day-he-sinh-thai-cong-nghe-so-trong-giao-duc-dh-viet-nam-accees-do-lien-minh-chau-au-tai-tro
Lễ ra quân các đội tuyển tham dự kỳ thi Olympic sinh viên năm 2025,28/03/2025 03:42 CH,https://www.utc.edu.vn/le-ra-quan-cac-doi-tuyen-tham-du-cac-ky-thi-olympic-nam-2025
"Lễ bế giảng và trao bằng tốt nghiệp cho khóa 61 đại học chính quy hệ 4,5 năm",27/03/2025 11:35 SA,https://www.utc.edu.vn/le-be-giang-va-trao-bang-tot-nghiep-cho-khoa-61-dai-hoc-chinh-quy-he-4-5-nam
Kỷ niệm 63 năm ngày thành lập Trường Đại học Giao thông vận tải (24/3/1962 - 24/3/2025),24/03/2025 05:17 CH,https://www.utc.edu.vn/ki-niem-63-nam-ngay-thanh-lap-truong-dai-hoc-giao-thong-van-tai-24-3-1962-24-3-2025-
Lễ ký kết hợp tác giữa Trường Đại học Giao thông vận tải và Công ty TechnoBridge NKE (Nhật Bản),22/03/2025 04:55 CH,https://www.utc.edu.vn/le-ky-ket-hop-tac-giua-truong-dai-hoc-giao-thong-van-tai-va-cong-ty-technobridge-nke-nhat-ban-
"Tọa đàm chia sẻ kinh nghiệm với chủ đề Chuyển đổi số, đổi mới sáng tạo và Trí tuệ nhân tạo trong giáo dục đại học",20/03/2025 04:33 CH,https://www.utc.edu.vn/toa-dam-chia-se-kinh-nghiem-voi-chu-de-chuyen-doi-so-doi-moi-sang-tao-va-tri-tue-nhan-tao-trong-giao-duc-dai-hoc
Trường Đại học Giao thông vận tải tham gia chương trình Ngày hội tư vấn hướng nghiệp do Báo Tuổi trẻ tổ chức,16/03/2025 06:05 CH,https://www.utc.edu.vn/truong-dai-hoc-giao-thong-van-tai-to-tham-gia-chuong-trinh-ngay-hoi-tu-van-huong-nghiep-do-bao-tuoi-tre-to-chuc
"Trường Đại học Giao thông Vận tải tiếp và làm việc với Giáo sư Young-Sup Joo, Giáo sư xuất sắc Đại học Quốc gia Seoul, Hàn Quốc",13/03/2025 05:57 CH,https://www.utc.edu.vn/truong-dai-hoc-giao-thong-van-tai-tiep-va-lam-viec-voi-giao-su-young-sup-joo-giao-su-xuat-sac-dai-hoc-quoc-gia-seoul-han-quoc
Lễ khai giảng các lớp kỹ sư Đường sắt hệ đào tạo từ xa khóa 65,10/03/2025 03:11 CH,https://www.utc.edu.vn/le-khai-giang-cac-lop-ky-su-duong-sat-he-dao-tao-tu-xa-khoa-65
"Lễ Ký kết Biên bản ghi nhớ hợp tác giữa Công ty VINA Tech – Trường ĐH GTVT, và Tọa đàm “Phát triển các giải pháp xanh và bền vững trong ngành GTVT""",07/03/2025 06:26 CH,https://www.utc.edu.vn/le-ky-ket-bien-ban-ghi-nho-hop-tac-giua-cong-ty-vinatech-truong-dh-gtvt-va-toa-dam-phat-trien-cac-giai-phap-xanh-va-ben-vung-trong-nganh-gtvt-
Trường Đại học Giao thông vận tải được chọn là Cơ sở giáo dục đại học trọng điểm trong lĩnh vực giao thông và vận tải,01/03/2025 02:14 CH,https://www.utc.edu.vn/truong-dai-hoc-giao-thong-van-tai-duoc-chon-la-co-so-giao-duc-dai-hoc-trong-diem-trong-linh-vuc-giao-thong-va-van-tai
Lễ khai giảng lớp đào tạo kỹ sư Đường sắt (Chương trình đào tạo từ xa cho Công ty Cổ phần LIZEN),01/03/2025 12:16 CH,https://www.utc.edu.vn/le-khai-giang-lop-dao-tao-ky-su-duong-sat-chuong-trinh-dao-tao-tu-xa-cho-cong-ty-co-phan-lizen-
Khai giảng lớp Kỹ sư Kỹ thuật điều khiển và tự động hóa Trường Cao đẳng Đường sắt Phân hiệu Đà Nẵng ,26/02/2025 03:10 CH,https://www.utc.edu.vn/khai-giang-lop-ky-su-ky-thuat-dieu-khien-va-tu-dong-hoa-phan-hieu-truong-cao-dang-duong-sat-da-nang
KÝ KẾT THOẢ THUẬN HỢP TÁC VỚI CHISHOLM INSTITUTE,26/02/2025 01:27 CH,https://www.utc.edu.vn/ky-ket-thoa-thuan-hop-tac-voi-chisholm-institute
Lễ ký kết thỏa thuận hợp tác đào tạo kỹ sư đường sắt tốc độ cao giữa Trường Đại học Giao thông vận tải và Ban quản lý dự án Mỹ Thuận,25/02/2025 09:09 SA,https://www.utc.edu.vn/le-ky-ket-thoa-thuan-hop-tac-dao-tao-ky-su-duong-sat-toc-do-cao-giua-truong-dai-hoc-giao-thong-van-tai-va-ban-quan-ly-du-an-my-thuan
Hiệu trưởng Nhà trường làm việc với đoàn đại biểu của Trường Đại học Giao thông Bắc Kinh và Hiệp hội Giao thông đường sắt đô thị Trung Quốc,21/02/2025 07:22 CH,https://www.utc.edu.vn/hieu-truong-nha-truong-lam-viec-voi-doan-dai-bieu-cua-truong-dai-hoc-giao-thong-bac-kinh-va-hiep-hoi-giao-thong-duong-sat-do-thi-trung-quoc
"Tọa đàm ""Kinh nghiệm trong phát triển vận tải và điều khiển đường sắt tốc độ cao, đường sắt đô thị của Trung Quốc""",20/02/2025 06:41 CH,https://www.utc.edu.vn/toa-dam-kinh-nghiem-trong-phat-trien-van-tai-va-dieu-khien-duong-sat-toc-do-cao-duong-sat-do-thi-cua-trung-quoc-
Lễ khai giảng lớp đào tạo kỹ sư Kỹ thuật công trình giao thông (đường sắt) hệ đào tạo từ xa trình độ đại học,17/02/2025 08:04 CH,https://www.utc.edu.vn/le-khai-giang-lop-dao-tao-ky-su-ky-thuat-cong-trinh-giao-thong-duong-sat-he-dao-tao-tu-xa-trinh-do-dai-hoc
"Thường trực UB KH,CN&MT của Quốc hội làm việc với Trường Đại học GTVT về đào tạo nguồn nhân lực đường sắt và thẩm tra dự án Luật đường sắt (sửa đổi)",11/02/2025 11:50 SA,https://www.utc.edu.vn/thuong-truc-uy-ban-khoa-hoc-cong-nghe-va-moi-truong-cua-quoc-hoi-lam-viec-voi-truong-dai-hoc-giao-thong-van-tai-ve-dao-tao-nguon-nhan-luc-duong-sat-v
Khai giảng các lớp Cao học K32,10/02/2025 06:20 CH,https://www.utc.edu.vn/khai-giang-cac-lop-cao-hoc-k32
Gặp mặt đầu xuân Ất Tỵ năm 2025,10/02/2025 10:12 SA,https://www.utc.edu.vn/gap-mat-dau-xuan-at-ty-nam-2025
Thư Chúc mừng năm mới của Hiệu trưởng - Xuân Ất Tỵ 2025,22/01/2025 08:09 CH,https://www.utc.edu.vn/thu-chuc-mung-nam-moi-cua-hieu-truong-xuan-at-ty-2025
"Lễ Công bố quyết định bổ nhiệm Lãnh đạo các đơn vị và quyết định bổ nhiệm chức danh Giáo sư, Phó giáo sư năm 2024 ",17/01/2025 10:01 SA,https://www.utc.edu.vn/le-cong-bo-quyet-dinh-bo-nhiem-lanh-dao-cac-don-vi-va-quyet-dinh-bo-nhiem-chuc-danh-giao-su-pho-giao-su-nam-2024
Lễ tiếp nhận thiết bị tài trợ của Công ty TNHH Siemens và Công ty VBTECH,16/01/2025 11:49 SA,https://www.utc.edu.vn/le-tiep-nhan-thiet-bi-tai-tro-cua-cong-ty-tnhh-siemens-va-cong-ty-vbtech
Khánh thành cột cờ Tổ quốc tại quần đảo Nam Du,15/01/2025 02:44 CH,https://www.utc.edu.vn/khanh-thanh-cot-co-to-quoc-tai-quan-dao-nam-du
Hội thảo quốc tế Xây dựng đường sắt tốc độ cao ở Việt Nam và Kinh nghiệm từ Trung Quốc,09/01/2025 04:20 CH,https://www.utc.edu.vn/hoi-thao-quoc-te-xay-dung-duong-sat-toc-do-cao-o-viet-nam-va-kinh-nghiem-tu-trung-quoc
Bế mạc đợt khảo sát chính thức đánh giá chất lượng 06 chương trình đào tạo của Trường Đại học GTVT,08/01/2025 08:34 CH,https://www.utc.edu.vn/be-mac-dot-khao-sat-chinh-thuc-danh-gia-chat-luong-06-chuong-trinh-dao-tao-cua-truong-dai-hoc-gtvt
"Lễ ký kết biên bản ghi nhớ hợp tác giữa Trường Đại học Giao thông vận tải và Công ty Cổ phần tư vấn công nghệ, thiết bị và Kiểm định xây dựng CONINCO",06/01/2025 07:37 CH,https://www.utc.edu.vn/le-ky-ket-bien-ban-ghi-nho-hop-tac-giua-truong-dai-hoc-giao-thong-van-tai-va-cong-ty-co-phan-tu-van-cong-nghe-thiet-bi-va-kiem-dinh-xay-dung-coninco
Khai mạc khảo sát chính thức đánh giá ngoài 06 chương trình đào tạo của Trường Đại học Giao thông vận tải,04/01/2025 11:32 SA,https://www.utc.edu.vn/khai-mac-khao-sat-chinh-thuc-danh-gia-ngoai-06-chuong-trinh-dao-tao-cua-truong-dai-hoc-giao-thong-van-tai
Chủ tịch Hội đồng Trường tham gia đoàn công tác của Bộ trưởng Bộ Giáo dục và đào tạo thăm và làm việc tại Trung Quốc ,31/12/2024 06:49 CH,https://www.utc.edu.vn/chu-tich-hoi-dong-truong-tham-gia-doan-cong-tac-cua-bo-truong-bo-giao-duc-va-dao-tao-tham-va-lam-viec-tai-trung-quoc
Khảo sát sơ bộ đánh giá chất lượng 5 chương trình đào tạo đại học và 1 chương trình đào tạo thạc sĩ của Trường Đại học Giao thông vận tải,25/12/2024 08:01 CH,https://www.utc.edu.vn/khao-sat-so-bo-danh-gia-chat-luong-5-chuong-trinh-dao-tao-dai-hoc-va-1-chuong-trinh-dao-tao-thac-si-cua-truong-dai-hoc-giao-thong-van-tai
"Hội nghị viên chức, người lao động Trường Đại học GTVT lần thứ 52 năm học 2024 – 2025",20/12/2024 01:33 CH,https://www.utc.edu.vn/hoi-nghi-vien-chuc-nguoi-lao-dong-truong-dai-hoc-gtvt-lan-thu-52-nam-hoc-2024-2025
Lễ Công bố Quyết định công nhận Hiệu trưởng Trường Đại học Giao thông vận tải nhiệm kỳ 2020-2025,18/12/2024 01:15 CH,https://www.utc.edu.vn/le-cong-bo-quyet-dinh-cong-nhan-hieu-truong-truong-dai-hoc-giao-thong-van-tai-nhiem-ky-2020-2025
Lễ trao bằng tốt nghiệp đại học cho học viên tốt nghiệp Sĩ quan dự bị năm 2024,13/12/2024 03:14 CH,https://www.utc.edu.vn/le-trao-bang-tot-nghiep-dai-hoc-cho-hoc-vien-tot-nghiep-si-quan-du-bi-nam-2024
Trường Đại học GTVT làm việc với Tập đoàn Dassault Systèmes,04/12/2024 11:12 SA,https://www.utc.edu.vn/truong-dai-hoc-gtvt-lam-viec-voi-tap-doan-dassault-systemes
Trường Đại học Giao thông vận tải tiếp và làm việc với công ty Chodai & Kiso-Jiban,03/12/2024 07:54 CH,https://www.utc.edu.vn/Chodai_Kiso_Jiban
Khai giảng khóa bồi dưỡng lý luận chính trị dành cho đối tượng kết nạp Đảng,01/12/2024 09:27 SA,https://www.utc.edu.vn/khai-giang-khoa-boi-duong-ly-luan-chinh-tri-danh-cho-doi-tuong-ket-nap-dang-168a
Khai giảng Khóa bồi dưỡng lý luận chính trị dành cho đảng viên mới,01/12/2024 09:08 SA,https://www.utc.edu.vn/khai-giang-khoa-boi-duong-ly-luan-chinh-tri-danh-cho-dang-vien-moi
Kỷ niệm 79 năm ngày Truyền thống Trường ĐHGTVT 15/11 và 42 năm ngày Nhà giáo Việt Nam 20/11,18/11/2024 05:03 CH,https://www.utc.edu.vn/ki-niem-79-nam-ngay-truyen-thong-truong-dhgtvt-15-11-va-42-nam-ngay-nha-giao-viet-nam-20-11
"Lễ trao tặng danh hiệu NGND, NGƯT và tuyên dương nhà giáo, cán bộ quản lý tiêu biểu  năm 2024",17/11/2024 12:01 CH,https://www.utc.edu.vn/le-trao-tang-danh-hieu-ngnd-ngut-va-tuyen-duong-nha-giao-can-bo-quan-ly-tieu-bieu-nam-2024
 Lễ ký kết thỏa thuận hợp tác giữa Trường Đại học Giao thông vận tải với Tổng công ty Thăng Long và Công ty cổ phần Fecon,14/11/2024 11:33 CH,https://www.utc.edu.vn/le-ky-ket-thoa-thuan-hop-tac-giua-truong-dh-giao-thong-van-tai-voi-tong-cong-ty-thang-long-va-cong-ty-co-phan-fecon
Lễ ký biên bản hợp tác giữa Trường Đại học Giao thông vận tải và Tập đoàn Tipco Asphalt Thái Lan,14/11/2024 10:27 CH,https://www.utc.edu.vn/le-ky-bien-ban-hop-tac-giua-truong-dhgtvt-va-tap-doan-tipco-asphalt-thai-lan
"Ngày hội thể thao cán bộ, viên chức lần thứ 5 năm 2024",11/11/2024 02:46 CH,https://www.utc.edu.vn/ngay-hoi-the-thao-can-bo-vien-chuc-lan-thu-5-nam-2024
Trường Đại học Giao thông vận tải tăng 170 bậc trên bảng xếp hạng QS các trường đại học khu vực châu Á năm 2025,07/11/2024 02:29 CH,https://www.utc.edu.vn/truong-dai-hoc-giao-thong-van-tai-tang-170-bac-tren-bang-xep-hang-qs-cac-truong-dai-hoc-khu-vuc-chau-a-nam-2025
Trường Đại học Giao thông vận tải thăm sĩ quan dự bị tại Trường Quân sự Quân khu 2 ,06/11/2024 01:48 CH,https://www.utc.edu.vn/truong-dai-hoc-giao-thong-van-tai-si-quan-du-bi-tai-truong-quan-su-quan-khu-2
Hội thảo quốc tế lần thứ 3 về Động lực học và Điều khiển ô tô: Phương tiện tự hành,04/11/2024 04:08 CH,https://www.utc.edu.vn/hoi-thao-quoc-te-lan-thu-3-ve-dong-luc-hoc-va-dieu-khien-o-to-phuong-tien-tu-hanh
Trường ĐHGTVT trao đổi với các chuyên gia từ Nhật Bản về dự án “Di chuyển thông minh”,02/11/2024 05:12 CH,https://www.utc.edu.vn/truong-dhgtvt-trao-doi-voi-cac-chuyen-gia-tu-nhat-ban-ve-du-an-di-chuyen-thong-minh-
"Lễ Khánh thành Cột cờ tại xã An Sơn, huyện Kiên Hải, tỉnh Kiên Giang",01/11/2024 10:35 SA,https://www.utc.edu.vn/le-khanh-thanh-cot-co-tai-xa-an-son-huyen-kien-hai-tinh-kien-giang
